"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"LEAD_2","PUBLISHED","2004","WHO_LMI_AFR","12","0.12000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_AMR","9","0.09000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_EMR","34","0.34000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_EUR","2","0.02000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_SEAR","24","0.24000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_WPR","11","0.11000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_HIC","1","0.01000","","",""
"LEAD_2","PUBLISHED","2004","WHO_LMI_WORLD","16","0.16000","","",""
