"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"WHS2_126","PUBLISHED","2000","EMR","AFG","GHE151","13","13.00000","","",""
"WHS2_126","PUBLISHED","2012","EMR","AFG","GHE060","23","23.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","AGO","GHE151","10","10.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","ALB","GHE060","67","67.00000","","",""
"WHS2_126","PUBLISHED","2000","EMR","ARE","GHE151","23","23.00000","","",""
"WHS2_126","PUBLISHED","2012","EMR","ARE","GHE060","56","56.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","ARG","GHE001","16","16.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","ARG","GHE151","13","13.00000","","",""
"WHS2_126","PUBLISHED","2000","WPR","AUS","GHE001","5","5.00000","","",""
"WHS2_126","PUBLISHED","2000","WPR","AUS","GHE151","13","13.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","AUT","GHE001","3","3.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","AUT","GHE151","9","9.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","AZE","GHE060","67","67.00000","","",""
"WHS2_126","PUBLISHED","2000","AFR","BDI","GHE001","76","76.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","BEL","GHE060","82","82.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","BEL","GHE001","7","7.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","BEN","GHE060","24","24.00000","","",""
"WHS2_126","PUBLISHED","2000","AFR","BFA","GHE001","82","82.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","BFA","GHE151","10","10.00000","","",""
"WHS2_126","PUBLISHED","2000","SEAR","BGD","GHE060","27","27.00000","","",""
"WHS2_126","PUBLISHED","2012","SEAR","BGD","GHE001","45","45.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","BGR","GHE151","8","8.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","BGR","GHE060","89","89.00000","","",""
"WHS2_126","PUBLISHED","2012","EMR","BHR","GHE151","18","18.00000","","",""
"WHS2_126","PUBLISHED","2000","AMR","BHS","GHE060","37","37.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","BIH","GHE001","6","6.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","BIH","GHE151","11","11.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","BIH","GHE060","86","86.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","BLR","GHE001","5","5.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","BLR","GHE151","15","15.00000","","",""
"WHS2_126","PUBLISHED","2000","AMR","BOL","GHE001","52","52.00000","","",""
"WHS2_126","PUBLISHED","2000","AMR","BOL","GHE151","15","15.00000","","",""
"WHS2_126","PUBLISHED","2000","AMR","BRA","GHE060","54","54.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","BRA","GHE001","17","17.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","BRA","GHE151","21","21.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","BRB","GHE060","76","76.00000","","",""
"WHS2_126","PUBLISHED","2000","WPR","BRN","GHE001","15","15.00000","","",""
"WHS2_126","PUBLISHED","2000","SEAR","BTN","GHE060","26","26.00000","","",""
"WHS2_126","PUBLISHED","2012","SEAR","BTN","GHE001","34","34.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","BWA","GHE060","23","23.00000","","",""
"WHS2_126","PUBLISHED","2000","AFR","CAF","GHE001","85","85.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","CAF","GHE151","8","8.00000","","",""
"WHS2_126","PUBLISHED","2000","AMR","CAN","GHE060","83","83.00000","","",""
"WHS2_126","PUBLISHED","2000","EUR","CHE","GHE151","11","11.00000","","",""
"WHS2_126","PUBLISHED","2012","EUR","CHE","GHE060","86","86.00000","","",""
"WHS2_126","PUBLISHED","2012","AMR","CHL","GHE151","15","15.00000","","",""
"WHS2_126","PUBLISHED","2000","WPR","CHN","GHE060","61","61.00000","","",""
"WHS2_126","PUBLISHED","2000","AFR","CIV","GHE001","79","79.00000","","",""
"WHS2_126","PUBLISHED","2000","AFR","CIV","GHE151","7","7.00000","","",""
"WHS2_126","PUBLISHED","2012","AFR","CMR","GHE001","69","69.00000","","",""
