"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PENALTYTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001793","PUBLISHED","2016","EUR","BEL","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","DZA","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","SEAR","BGD","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","SEAR","BGD","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","BRB","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","AZE","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","BHS","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","BRA","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","AZE","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","SEAR","BGD","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","SEAR","BGD","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","ARG","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","AUS","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","BIH","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","DNK","SA_IGNITION_INTERLOCKS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","BGR","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","BFA","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","BRB","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","BEN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","COM","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","COG","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","GHA","SA_FINES","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","FRA","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","GIN","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","GUY","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","KAZ","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","KIR","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","MWI","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","NZL","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","NER","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","KOR","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","ROU","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","ZAF","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","SYR","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","SYR","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","MNE","SA_COMMUNITY_PUBLIC_SERVICE","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","SSD","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","CAF","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","ECU","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","ETH","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","DNK","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","DJI","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","GMB","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","GEO","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","IRN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","ISR","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","NGA","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","MLT","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","MHL","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","PER","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","PRT","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","KNA","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","KNA","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","CHE","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","SYR","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","UKR","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","TZA","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","CAF","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","CHL","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","CHL","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","COD","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","COD","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","GIN","SA_LICENSE_SUSPENDED_REVOKED","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","GUY","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","LVA","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EMR","LBY","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","MLI","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","MLT","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","NER","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","NER","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","PRT","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","KOR","SA_DETENTION_SHORT_LONG_TERM","No","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","ZAF","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","TUR","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","UKR","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","ZWE","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AFR","CMR","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","CAN","SA_COMMUNITY_PUBLIC_SERVICE","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","FIN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","GUY","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","HND","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","WPR","MYS","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","NIC","SA_FINES","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","PER","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","PER","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","SVN","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001793","PUBLISHED","2016","AMR","URY","SA_PENALTY_POINTS","No","","","",""
"SA_0000001793","PUBLISHED","2016","EUR","MKD","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
