"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","BTSX","ENVCAUSE039","32[ 26–36]","31.68334","26.01152","36.15472",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","FMLE","ENVCAUSE039","31[ 25–35]","30.64692","25.12900","34.86128",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","MLE","ENVCAUSE039","33[ 27–38]","33.18977","27.20520","37.96821",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","BTSX","ENVCAUSE113","107[ 92–121]","106.86513","91.91023","121.10884",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","FMLE","ENVCAUSE113","94[ 81–106]","93.63647","81.02480","106.31156",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","MLE","ENVCAUSE113","120[ 103–138]","120.23901","102.93719","137.62096",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","BTSX","ENVCAUSE068","4[ 3–5]","4.04609","3.03489","4.92123",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","FMLE","ENVCAUSE068","2[ 2–3]","2.18648","1.71374","2.58072",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","MLE","ENVCAUSE068","6[ 4–7]","6.03644","4.38692","7.45630",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","BTSX","ENVCAUSE114","45[ 39–52]","45.10255","38.58609","51.65343",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","FMLE","ENVCAUSE114","47[ 40–54]","46.71149","40.01439","53.50180",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","AFG","MLE","ENVCAUSE114","44[ 37–50]","43.51802","37.06778","50.39724",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE039","49[ 40–57]","48.76052","39.55766","57.16579",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","FMLE","ENVCAUSE039","46[ 37–54]","45.98732","37.42734","53.76592",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE039","53[ 42–62]","52.62307","42.49470","61.87746",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE113","33[ 28–38]","32.68125","27.75037","37.84776",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","FMLE","ENVCAUSE113","32[ 27–37]","31.82731","26.54877","37.11285",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE113","33[ 28–38]","33.11376","28.20501","38.34923",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE068","1[ 1–1]","0.84891","0.61562","1.05813",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","FMLE","ENVCAUSE068","1[ 0–1]","0.63653","0.48124","0.77696",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE068","1[ 1–1]","1.12554","0.78116","1.44377",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE114","23[ 19–27]","23.13111","19.07742","27.49503",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","FMLE","ENVCAUSE114","25[ 20–30]","24.86382","20.45045","29.53150",""
"SDGAIRBODA","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE114","21[ 17–25]","20.73523","17.19418","24.50652",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","BTSX","ENVCAUSE039","4[ 2–6]","3.78565","2.24656","5.61730",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","FMLE","ENVCAUSE039","3[ 2–5]","3.29267","1.95109","4.92919",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","MLE","ENVCAUSE039","4[ 3–6]","4.36297","2.58154","6.48589",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","BTSX","ENVCAUSE113","33[ 22–46]","33.23399","22.01144","45.99009",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","FMLE","ENVCAUSE113","25[ 16–36]","25.21772","16.00575","35.92843",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","MLE","ENVCAUSE113","42[ 29–57]","41.80778","28.50323","57.49564",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","BTSX","ENVCAUSE068","7[ 3–11]","7.05663","3.47497","11.40793",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","FMLE","ENVCAUSE068","5[ 3–8]","5.17548","2.51039","8.27478",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","MLE","ENVCAUSE068","9[ 4–15]","8.99100","4.33003","14.69880",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","BTSX","ENVCAUSE114","20[ 11–30]","19.63254","11.45992","30.42521",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","FMLE","ENVCAUSE114","18[ 10–28]","18.06240","10.38346","28.26687",""
"SDGAIRBODA","PUBLISHED","2016","EUR","","ALB","MLE","ENVCAUSE114","21[ 13–33]","21.36641","12.82773","32.80280",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE039","6[ 4–8]","6.16606","4.41574","8.41898",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE039","5[ 4–7]","5.05359","3.60183","6.95175",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE039","7[ 5–9]","6.70924","4.81237","9.14112",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE113","31[ 26–38]","31.13234","26.11551","37.70039",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE113","25[ 20–31]","25.17586","20.43257","31.08737",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE113","33[ 28–40]","33.16666","27.63773","40.46180",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE068","2[ 1–2]","1.50407","0.90849","2.25245",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE068","1[ 1–1]","0.95414","0.58102","1.47483",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE068","2[ 1–3]","1.76902","1.07042","2.61755",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE114","11[ 9–13]","10.63888","8.84094","13.10804",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE114","10[ 8–13]","10.05440","8.31121","12.61545",""
"SDGAIRBODA","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE114","11[ 9–13]","10.89092","9.04602","13.45057",""
"SDGAIRBODA","PUBLISHED","2016","AMR","","ARG","BTSX","ENVCAUSE039","7[ 3–12]","6.85366","2.89133","11.98697",""
"SDGAIRBODA","PUBLISHED","2016","AMR","","ARG","FMLE","ENVCAUSE039","6[ 2–10]","5.66127","2.43126","9.87940",""
"SDGAIRBODA","PUBLISHED","2016","AMR","","ARG","MLE","ENVCAUSE039","9[ 4–15]","8.66534","3.64123","15.20285",""
"SDGAIRBODA","PUBLISHED","2016","AMR","","ARG","BTSX","ENVCAUSE113","10[ 7–13]","9.77906","6.85348","12.94179",""
