"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_11","PUBLISHED","2004","GBD_REG14_AFRD","58","0.58000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_AFRE","54","0.54000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_AMRA","1","0.01000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_AMRB","14","0.14000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_AMRD","30","0.30000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_EMRB","19","0.19000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_EMRD","46","0.46000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_EURA","0","0.00000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_EURB","14","0.14000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_EURC","2","0.02000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_SEARB","13","0.13000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_SEARD","30","0.30000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_WPRA","0","0.00000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_WPRB","7","0.07000","","",""
"TOTENV_11","PUBLISHED","2004","GBD_REG14_WORLD","27","0.27000","","",""
