"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","GHA","EDLVL00TO05YR","","","4.1","4.08084","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","GHA","EDLVL12PLUSYR","","","11.7","11.70185","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","GHA","","URB","","33.9","33.87974","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","GHA","EDLVL00TO05YR","","","24.4","24.40452","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","GHA","","","WQ3","42.0","42.03528","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","WQ4","70.6","70.63412","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","WQ2","58.1","58.07769","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","45.6","45.55860","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","WQ4","46.4","46.41826","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BFA","EDLVL06TO11YR","","","52.5","52.47199","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2010","AFR","BFA","","RUR","","48.8","48.80450","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","WQ1","1.8","1.83194","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","GHA","","","WQ5","33.5","33.53355","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2011","AFR","GHA","","URB","","29.9","29.91069","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2011","AFR","GHA","","","WQ1","46.5","46.47035","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2011","AFR","GHA","","","WQ3","26.7","26.70367","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","GIN","EDLVL06TO11YR","","","4.2","4.15863","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2006","AFR","BEN","EDLVL00TO05YR","","","23.7","23.71182","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2006","AFR","BEN","","URB","","26.3","26.31581","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","KEN","EDLVL00TO05YR","","","8.4","8.40512","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","WQ5","20.0","19.99836","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","KEN","","URB","","63.3","63.28266","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","KEN","","","WQ3","65.7","65.68152","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","KEN","","","WQ5","58.7","58.72678","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2011","WPR","LAO","EDLVL06TO11YR","","","29.2","29.21002","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","WQ1","44.7","44.70672","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2013","AFR","LBR","","RUR","","40.5","40.52939","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2013","AFR","LBR","EDLVL06TO11YR","","","37.9","37.91709","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","46.0","46.01099","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","MDG","","RUR","","44.7","44.68488","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","WQ2","53.2","53.22649","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2012","AFR","MLI","","","WQ3","70.4","70.44926","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2012","AFR","MLI","","","WQ5","68.9","68.87849","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","WQ1","43.7","43.65834","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","","WQ3","41.0","40.98481","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2006","AFR","NAM","","RUR","","14.7","14.71062","","",""
