"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"SA_0000001828","PUBLISHED","2016","AFR","5.1 [4.1-6.3]","5.10000","","",""
"SA_0000001828","PUBLISHED","2016","AMR","5.5 [4.5-6.6]","5.50000","","",""
"SA_0000001828","PUBLISHED","2016","EMR","0.7 [0.5-1.1]","0.70000","","",""
"SA_0000001828","PUBLISHED","2016","EUR","10.1 [9.2-11]","10.10000","","",""
"SA_0000001828","PUBLISHED","2016","GLOBAL","5.3 [4.6-6.2]","5.30000","","",""
"SA_0000001828","PUBLISHED","2016","SEAR","4.6 [3.5-6.6]","4.60000","","",""
"SA_0000001828","PUBLISHED","2016","WPR","4.1 [2.9-5.5]","4.10000","","",""
