"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_KNHIV","EQ_MICS","PUBLISHED","2007","AFR","MRT","","FMLE","","","20.2","20.20000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2007","AFR","MRT","","FMLE","URB","","28.4","28.40000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2007","AFR","MRT","","FMLE","RUR","","12.3","12.30000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2012","EUR","MDA","","FMLE","","WQ1","74.5","74.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","WQ4","77.7","77.70000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","WQ5","82.0","82.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","","66.8","66.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","URB","","68.9","68.90000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","RUR","","63.2","63.20000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","EDLVL00TO05YR","FMLE","","","50.3","50.30000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","EDLVL06TO11YR","FMLE","","","70.5","70.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","EDLVL12PLUSYR","FMLE","","","76.1","76.10000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","WQ1","63.8","63.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","WQ2","69.7","69.70000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","WQ3","70.5","70.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","WQ4","68.6","68.60000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","EUR","MNE","","FMLE","","WQ5","71.6","71.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","","48.0","48.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","URB","","55.9","55.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","RUR","","31.3","31.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","EDLVL00TO05YR","FMLE","","","50.8","50.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","EDLVL06TO11YR","FMLE","","","61.7","61.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","EDLVL12PLUSYR","FMLE","","","58.0","58.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","WQ1","53.6","53.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","WQ2","58.2","58.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","WQ3","55.3","55.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","WQ4","55.2","55.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","EMR","MAR","","FMLE","","WQ5","56.8","56.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","","8.4","8.40000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2012","EUR","MDA","","FMLE","","WQ2","77.0","77.00000","","",""
