"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"NUTRITION_579","NLIS_300214","PUBLISHED","2005","EUR","ALB","BTSX","2.3","2.30000","","",""
"NUTRITION_579","NLIS_300281","PUBLISHED","2000","EUR","ALB","BTSX","6.5","6.50000","","",""
"NUTRITION_579","NLIS_300304","PUBLISHED","2009","EUR","ALB","BTSX","38.6","38.60000","","",""
"NUTRITION_579","NLIS_300217","PUBLISHED","2006","AFR","DZA","BTSX","6.9","6.90000","","",""
"NUTRITION_579","NLIS_300043","PUBLISHED","2001","AFR","AGO","BTSX","11.1","11.10000","","",""
"NUTRITION_579","NLIS_300130","PUBLISHED","2000","EUR","ARM","BTSX","31.8","31.80000","","",""
"NUTRITION_579","NLIS_300116","PUBLISHED","2005","EUR","ARM","BTSX","32.5","32.50000","","",""
"NUTRITION_579","NLIS_300196","PUBLISHED","2006","EUR","AZE","BTSX","11.8","11.80000","","",""
"NUTRITION_579","NLIS_300284","PUBLISHED","1997","SEAR","BGD","BTSX","45.1","45.10000","","",""
"NUTRITION_579","NLIS_300237","PUBLISHED","2007","SEAR","BGD","BTSX","42.9","42.90000","","",""
"NUTRITION_579","NLIS_300100","PUBLISHED","2004","SEAR","BGD","BTSX","36.2","36.20000","","",""
"NUTRITION_579","NLIS_300342","PUBLISHED","2005","SEAR","BGD","BTSX","58.4","58.40000","","",""
"NUTRITION_579","NLIS_300285","PUBLISHED","1994","SEAR","BGD","BTSX","45.9","45.90000","","",""
"NUTRITION_579","NLIS_300256","PUBLISHED","2006","SEAR","BGD","BTSX","37.4","37.40000","","",""
"NUTRITION_579","NLIS_300283","PUBLISHED","2000","SEAR","BGD","BTSX","46.1","46.10000","","",""
"NUTRITION_579","NLIS_300209","PUBLISHED","2005","EUR","BLR","BTSX","9","9.00000","","",""
"NUTRITION_579","NLIS_300240","PUBLISHED","2006","AMR","BLZ","BTSX","10.2","10.20000","","",""
"NUTRITION_579","NLIS_300092","PUBLISHED","2001","AFR","BEN","BTSX","37.9","37.90000","","",""
"NUTRITION_579","NLIS_300191","PUBLISHED","2006","AFR","BEN","BTSX","43.1","43.10000","","",""
"NUTRITION_579","NLIS_300294","PUBLISHED","1996","AFR","BEN","BTSX","10.1","10.10000","","",""
"NUTRITION_579","NLIS_300341","PUBLISHED","2008","SEAR","BTN","BTSX","10.4","10.40000","","",""
"NUTRITION_579","NLIS_300313","PUBLISHED","2008","AMR","BOL","BTSX","60.4","60.40000","","",""
"NUTRITION_579","NLIS_300120","PUBLISHED","2004","AMR","BOL","BTSX","53.6","53.60000","","",""
"NUTRITION_579","NLIS_300242","PUBLISHED","2006","EUR","BIH","BTSX","17.6","17.60000","","",""
"NUTRITION_579","NLIS_300244","PUBLISHED","1996","AMR","BRA","BTSX","29.1","29.10000","","",""
"NUTRITION_579","NLIS_300243","PUBLISHED","2007","AMR","BRA","BTSX","39.8","39.80000","","",""
"NUTRITION_579","NLIS_300241","PUBLISHED","2005","AFR","BDI","BTSX","44.7","44.70000","","",""
"NUTRITION_579","NLIS_300090","PUBLISHED","2000","AFR","BDI","BTSX","61.8","61.80000","","",""
