"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"cpmt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201001","","34.7 [31.6-38.0]","35.00000","32.00000","38.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201511","","13.4 [11.0-16.3]","13.00000","11.00000","16.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201512","","28.9 [25.5-32.6]","29.00000","25.00000","33.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201513","","14.5 [11.8-17.8]","15.00000","12.00000","18.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201526","","26.7 [17.7-38.2]","27.00000","18.00000","38.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201528","","14.6 [9.9-20.9]","15.00000","10.00000","21.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201529","","12.4 [10.0-15.2]","12.00000","10.00000","15.00000",""
"cpmt","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"cpmt","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200203","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"cpmt","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200502","","47.2 [39.3-55.2]","47.00000","39.00000","55.00000",""
"cpmt","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200804","","72.3 [68.2-76.1]","72.00000","68.00000","76.00000",""
"cpmt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201710","","15.9 [11.6-21.3]","16.00000","12.00000","21.00000",""
"cpmt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201711","","64.3 [54.4-73.0]","64.00000","54.00000","73.00000",""
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200001","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200602","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200603","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201203","","58.6 [56.2-61.0]","59.00000","56.00000","61.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201204","","51.6 [49.4-53.9]","52.00000","49.00000","54.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","60.9 [58.8-62.9]","61.00000","59.00000","63.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201206","","56.4 [54.4-58.4]","56.00000","54.00000","58.00000",""
"cpmt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199614","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199615","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199616","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199617","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201506","","4.9 [2.4-9.8]","5.00000","2.00000","10.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201507","","9.6 [6.2-14.7]","10.00000","6.00000","15.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201509","","12.3 [8.8-17.0]","12.00000","9.00000","17.00000",""
"cpmt","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200010","","63.8 [57.8-69.5]","64.00000","58.00000","69.00000",""
"cpmt","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200011","","57.1 [53.1-61.0]","57.00000","53.00000","61.00000",""
"cpmt","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200509","","66.9 [52.4-78.8]","67.00000","52.00000","79.00000",""
"cpmt","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200510","","62.2 [51.9-71.4]","62.00000","52.00000","71.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201010","","49.9 [42.7-57.2]","50.00000","43.00000","57.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201011","","66.2 [61.2-70.8]","66.00000","61.00000","71.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201509","","20.8 [12.9-31.9]","21.00000","13.00000","32.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201510","","68.5 [64.2-72.6]","69.00000","64.00000","73.00000",""
"cpmt","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201511","","60.3 [55.3-65.1]","60.00000","55.00000","65.00000",""
"cpmt","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200602","","41.2 [37.6-44.9]","41.00000","38.00000","45.00000",""
"cpmt","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200603","","49.7 [44.5-54.9]","50.00000","44.00000","55.00000",""
"cpmt","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","","BGDDHS199902","","44.6 [41.0-48.2]","45.00000","41.00000","48.00000",""
"cpmt","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","","BGDDHS199903","","54.3 [51.5-57.1]","54.00000","51.00000","57.00000",""
"cpmt","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","","BGDDHS199905","","59.5 [56.1-62.9]","60.00000","56.00000","63.00000",""
"cpmt","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200406","","31.9 [28.3-35.8]","32.00000","28.00000","36.00000",""
"cpmt","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","","BGDDHS200701","","56.3 [52.2-60.3]","56.00000","52.00000","60.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201206","","72.8 [71.3-74.2]","73.00000","71.00000","74.00000",""
"cpmt","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201404","","67.1 [64.9-69.2]","67.00000","65.00000","69.00000",""
"cpmt","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201405","","69.4 [66.9-71.7]","69.00000","67.00000","72.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","","BRBMICS201202","","63.3 [56.2-70.0]","63.00000","56.00000","70.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","","BRBMICS201203","","64.3 [57.8-70.4]","64.00000","58.00000","70.00000",""
"cpmt","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200503","","75.4 [69.8-80.3]","75.00000","70.00000","80.00000",""
"cpmt","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200505","","75.3 [68.9-80.7]","75.00000","69.00000","81.00000",""
"cpmt","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200506","","70.6 [65.4-75.3]","71.00000","65.00000","75.00000",""
"cpmt","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201202","","62.7 [57.2-67.9]","63.00000","57.00000","68.00000",""
"cpmt","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201102","","58.9 [51.2-66.3]","59.00000","51.00000","66.00000",""
"cpmt","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201104","","56.9 [50.5-63.0]","57.00000","50.00000","63.00000",""
"cpmt","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201105","","56.7 [50.5-62.7]","57.00000","50.00000","63.00000",""
"cpmt","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201501","","71.5 [65.3-77.1]","72.00000","65.00000","77.00000",""
"cpmt","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200612","","13.5 [11.2-16.3]","14.00000","11.00000","16.00000",""
"cpmt","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201106","","17.0 [14.0-20.4]","17.00000","14.00000","20.00000",""
"cpmt","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201107","","6.1 [4.0-9.2]","6.00000","4.00000","9.00000",""
"cpmt","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201401","","17.7 [14.3-21.6]","18.00000","14.00000","22.00000",""
"cpmt","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201707","","6.2 [3.9-9.5]","6.00000","4.00000","9.00000",""
"cpmt","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201708","","27.2 [23.2-31.6]","27.00000","23.00000","32.00000",""
"cpmt","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201710","","21.1 [18.2-24.4]","21.00000","18.00000","24.00000",""
"cpmt","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201006","","64.4 [58.6-69.8]","64.00000","59.00000","70.00000",""
"cpmt","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201007","","63.6 [59.5-67.5]","64.00000","59.00000","67.00000",""
"cpmt","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199803","","44.1 [40.2-48.1]","44.00000","40.00000","48.00000",""
"cpmt","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199803","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200301","","50.6 [47.1-54.0]","51.00000","47.00000","54.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200302","","56.1 [52.8-59.3]","56.00000","53.00000","59.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200302","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200309","","60.5 [51.3-69.0]","60.00000","51.00000","69.00000",""
"cpmt","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200801","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200801","","55.9 [51.0-60.7]","56.00000","51.00000","61.00000",""
"cpmt","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200808","","60.9 [57.0-64.8]","61.00000","57.00000","65.00000",""
"cpmt","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200809","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200005","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200006","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200008","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","","","BRADHS199601","","84.5 [81.7-86.9]","85.00000","82.00000","87.00000",""
"cpmt","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","","","BRADHS199602","","68.2 [66.2-70.1]","68.00000","66.00000","70.00000",""
"cpmt","EQ_DHS","PUBLISHED","1992","AFR","BFA","","","","","BFADHS199205","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199803","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199804","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199805","","15.5 [12.7-18.8]","15.00000","13.00000","19.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200301","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200301","","36.7 [31.2-42.5]","37.00000","31.00000","43.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200308","","9.9 [7.5-12.9]","10.00000","8.00000","13.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200308","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200309","","14.4 [10.1-20.2]","14.00000","10.00000","20.00000",""
"cpmt","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200310","","12.3 [9.4-15.9]","12.00000","9.00000","16.00000",""
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200606","","19.3 [14.5-25.3]","19.00000","14.00000","25.00000",""
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200607","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200607","","13.8 [9.7-19.3]","14.00000","10.00000","19.00000",""
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200608","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201001","","12.1 [9.2-15.8]","12.00000","9.00000","16.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201008","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201009","","27.9 [24.3-31.8]","28.00000","24.00000","32.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201010","","10.9 [8.6-13.7]","11.00000","9.00000","14.00000",""
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200003","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200004","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200005","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","","","BDIMICS200501","","13.8 [11.8-16.1]","14.00000","12.00000","16.00000",""
"cpmt","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","","","BDIMICS200502","","7.7 [5.7-10.5]","8.00000","6.00000","11.00000",""
"cpmt","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201602","","27.9 [22.5-34.0]","28.00000","22.00000","34.00000",""
"cpmt","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201604","","25.9 [21.8-30.5]","26.00000","22.00000","30.00000",""
"cpmt","EQ_RHS","PUBLISHED","1998","AFR","CPV","","","","","CPVRHS199802","","81.3 [76.9-85.0]","81.00000","77.00000","85.00000",""
"cpmt","EQ_RHS","PUBLISHED","1998","AFR","CPV","","","","","CPVRHS199803","","31.4 [25.9-37.4]","31.00000","26.00000","37.00000",""
"cpmt","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200001","","36.1 [32.4-40.0]","36.00000","32.00000","40.00000",""
"cpmt","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200017","","14.5 [10.5-19.6]","14.00000","11.00000","20.00000",""
"cpmt","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200018","","29.6 [18.6-43.6]","30.00000","19.00000","44.00000",""
"cpmt","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200512","","36.7 [30.1-43.9]","37.00000","30.00000","44.00000",""
"cpmt","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200513","","44.2 [38.2-50.4]","44.00000","38.00000","50.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201001","","51.4 [45.5-57.4]","51.00000","45.00000","57.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201003","","39.7 [34.8-44.9]","40.00000","35.00000","45.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201004","","53.3 [48.9-57.8]","53.00000","49.00000","58.00000",""
"cpmt","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201018","","37.3 [29.7-45.6]","37.00000","30.00000","46.00000",""
"cpmt","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201408","","63.3 [59.6-66.8]","63.00000","60.00000","67.00000",""
"cpmt","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201409","","55.4 [50.3-60.3]","55.00000","50.00000","60.00000",""
"cpmt","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201411","","59.0 [54.0-63.9]","59.00000","54.00000","64.00000",""
"cpmt","EQ_DHS","PUBLISHED","1991","AFR","CMR","","","","","CMRDHS199101","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","","","CMRMICS200607","","42.2 [34.9-49.9]","42.00000","35.00000","50.00000",""
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","","","CMRMICS200608","","22.3 [16.1-30.0]","22.00000","16.00000","30.00000",""
"cpmt","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","","","CMRMICS200609","","56.4 [47.7-64.6]","56.00000","48.00000","65.00000",""
"cpmt","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201101","","11.1 [8.4-14.5]","11.00000","8.00000","15.00000",""
"cpmt","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201408","","58.8 [52.3-65.0]","59.00000","52.00000","65.00000",""
"cpmt","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201410","","50.8 [44.5-57.0]","51.00000","45.00000","57.00000",""
"cpmt","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201411","","47.3 [39.7-55.0]","47.00000","40.00000","55.00000",""
"cpmt","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201802","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201803","","No data","","","","Not available."
"cpmt","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","","","CAFDHS199401","","16.6 [14.7-18.7]","17.00000","15.00000","19.00000",""
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","CAF","","","","","CAFMICS200005","","No data","","","","Not available."
"cpmt","EQ_MICS","PUBLISHED","2000","AFR","CAF","","","","","CAFMICS200006","","No data","","","","Not available."
