"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_9","PUBLISHED","2004","GBD_REG14_AFRD","34724","34724.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_AFRE","33396","33396.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_AMRA","319","319.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_AMRB","4666","4666.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_AMRD","1573","1573.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_EMRB","1489","1489.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_EMRD","16569","16569.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_EURA","229","229.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_EURB","2226","2226.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_EURC","690","690.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_SEARB","3922","3922.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_SEARD","40670","40670.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_WPRA","88","88.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_WPRB","10717","10717.00000","","",""
"TOTENV_9","PUBLISHED","2004","GBD_REG14_WORLD","151277","151277.00000","","",""
