"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WHS5_512","PHEFN3","PUBLISHED","2013","AMR","WB_HI","CAN","URB","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","AMR","WB_HI","CAN","RUR","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CHE","TOTL","<5","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CHE","URB","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CHE","RUR","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_HI","CHL","TOTL","7","7.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_HI","CHL","URB","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_HI","CHL","RUR","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","CHN","TOTL","45","45.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","CHN","URB","14","14.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","CHN","RUR","79","79.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CIV","TOTL","81","81.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CIV","URB","65","65.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CIV","RUR",">95","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CMR","TOTL","78","78.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CMR","URB","60","60.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CMR","RUR",">95","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COD","TOTL","95","95.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COD","URB","90","90.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COD","RUR",">95","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","COG","TOTL","74","74.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","COG","URB","63","63.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","COG","RUR","95","95.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","COK","TOTL","17","17.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","COK","URB","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","WPR","WB_UMI","COK","RUR","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","COL","TOTL","14","14.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","COL","URB","<5","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","COL","RUR","51","51.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COM","TOTL","74","74.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COM","URB","44","44.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LI","COM","RUR","86","86.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CPV","TOTL","31","31.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CPV","URB","11","11.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AFR","WB_LMI","CPV","RUR","65","65.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CRI","TOTL","5","5.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CRI","URB","<5","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CRI","RUR","17","17.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CUB","TOTL","7","7.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CUB","URB","<5","","","","The latest survey data used instead of multilevel modelling after proportional adjustment to total solid fuel use; see <a href=http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=318"" target=""_blank"">meta-data sheet</a> for further information."""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","CUB","RUR","26","26.00000","","","The latest survey data used instead of multilevel modelling after proportional adjustment to total solid fuel use; see <a href=http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=318"" target=""_blank"">meta-data sheet</a> for further information."""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CYP","TOTL","<5","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CYP","URB","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","CYP","RUR","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","EUR","WB_HI","CZE","TOTL","<5","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","EUR","WB_HI","CZE","URB","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","EUR","WB_HI","CZE","RUR","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","DEU","TOTL","<5","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","DEU","URB","Not available","","","",""
"WHS5_512","PHEFN3","PUBLISHED","2013","EUR","WB_HI","DEU","RUR","Not available","","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","EMR","WB_LMI","DJI","TOTL","17","17.00000","","",""
"WHS5_512","PHEFN1","PUBLISHED","2013","EMR","WB_LMI","DJI","URB","6","6.00000","","","The latest survey data used instead of multilevel modelling after proportional adjustment to total solid fuel use; see <a href=http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=318"" target=""_blank"">meta-data sheet</a> for further information."""
"WHS5_512","PHEFN1","PUBLISHED","2013","EMR","WB_LMI","DJI","RUR","49","49.00000","","","The latest survey data used instead of multilevel modelling after proportional adjustment to total solid fuel use; see <a href=http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=318"" target=""_blank"">meta-data sheet</a> for further information."""
"WHS5_512","PHEFN1","PUBLISHED","2013","AMR","WB_UMI","DMA","TOTL","<5","","","",""
