"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001787","SA_0000001787_ATG","PUBLISHED","2009","AMR","ATG","FMLE","88.2","88.20000","","",""
"SA_0000001787","SA_0000001787_BLZ","PUBLISHED","2011","AMR","BLZ","BTSX","79.2","79.20000","","",""
"SA_0000001787","SA_0000001787_BOL","PUBLISHED","2012","AMR","BOL","MLE","59.3","59.30000","","",""
"SA_0000001787","SA_0000001787_COK","PUBLISHED","2011","WPR","COK","BTSX","80.1","80.10000","","",""
"SA_0000001787","SA_0000001787_DMA","PUBLISHED","2009","AMR","DMA","MLE","88.8","88.80000","","",""
"SA_0000001787","SA_0000001787_JAM","PUBLISHED","2010","AMR","JAM","MLE","84.6","84.60000","","",""
"SA_0000001787","SA_0000001787_LBN","PUBLISHED","2011","EMR","LBN","FMLE","85.9","85.90000","","",""
"SA_0000001787","SA_0000001787_NRU","PUBLISHED","2011","WPR","NRU","FMLE","66.7","66.70000","","",""
"SA_0000001787","SA_0000001787_PHL","PUBLISHED","2011","WPR","PHL","BTSX","56.7","56.70000","","",""
"SA_0000001787","SA_0000001787_SLB","PUBLISHED","2011","WPR","SLB","MLE","62.1","62.10000","","",""
"SA_0000001787","SA_0000001787_TTO","PUBLISHED","2011","AMR","TTO","BTSX","86.5","86.50000","","",""
"SA_0000001787","SA_0000001787_BTN","PUBLISHED","2016","SEAR","BTN","FMLE","70.4","70.40000","","",""
"SA_0000001787","SA_0000001787_COK","PUBLISHED","2015","WPR","COK","BTSX","79.5","79.50000","","",""
"SA_0000001787","SA_0000001787_DOM","PUBLISHED","2016","AMR","DOM","MLE","70.8","70.80000","","",""
"SA_0000001787","SA_0000001787_JAM","PUBLISHED","2017","AMR","JAM","BTSX","82.3","82.30000","","",""
"SA_0000001787","SA_0000001787_LBN","PUBLISHED","2017","EMR","LBN","MLE","87.1","87.10000","","",""
"SA_0000001787","SA_0000001787_NAM","PUBLISHED","2017","AFR","NAM","MLE","75.6","75.60000","","",""
"SA_0000001787","SA_0000001787_PRY","PUBLISHED","2017","AMR","PRY","FMLE","60.3","60.30000","","",""
"SA_0000001787","SA_0000001787_SLE","PUBLISHED","2017","AFR","SLE","BTSX","79.5","79.50000","","",""
"SA_0000001787","SA_0000001787_THA","PUBLISHED","2015","SEAR","THA","FMLE","65.9","65.90000","","",""
"SA_0000001787","SA_0000001787_TTO","PUBLISHED","2017","AMR","TTO","MLE","84.9","84.90000","","",""
"SA_0000001787","SA_0000001787_VNM","PUBLISHED","2013","WPR","VNM","MLE","65","65.00000","","",""
"SA_0000001787","SA_0000001787_MNG","PUBLISHED","2010","WPR","MNG","MLE","67.9","67.90000","","",""
"SA_0000001787","SA_0000001787_BTN","PUBLISHED","2016","SEAR","BTN","BTSX","74","74.00000","","",""
"SA_0000001787","SA_0000001787_COK","PUBLISHED","2010","WPR","COK","MLE","81","81.00000","","",""
"SA_0000001787","SA_0000001787_VUT","PUBLISHED","2016","WPR","VUT","MLE","53.4","53.40000","","",""
"SA_0000001787","SA_0000001787_TLS","PUBLISHED","2015","SEAR","TLS","MLE","73.1","73.10000","","",""
"SA_0000001787","SA_0000001787_THA","PUBLISHED","2015","SEAR","THA","BTSX","70.1","70.10000","","",""
"SA_0000001787","SA_0000001787_SLE","PUBLISHED","2017","AFR","SLE","FMLE","77.9","77.90000","","",""
"SA_0000001787","SA_0000001787_PRY","PUBLISHED","2017","AMR","PRY","BTSX","61.6","61.60000","","",""
"SA_0000001787","SA_0000001787_MUS","PUBLISHED","2017","AFR","MUS","MLE","75.6","75.60000","","",""
"SA_0000001787","SA_0000001787_LAO","PUBLISHED","2015","WPR","LAO","FMLE","33.7","33.70000","","",""
"SA_0000001787","SA_0000001787_IDN","PUBLISHED","2015","SEAR","IDN","MLE","70.9","70.90000","","",""
"SA_0000001787","SA_0000001787_FJI","PUBLISHED","2016","WPR","FJI","BTSX","68.7","68.70000","","",""
"SA_0000001787","SA_0000001787_URY","PUBLISHED","2012","AMR","URY","FMLE","69.1","69.10000","","",""
"SA_0000001787","SA_0000001787_TON","PUBLISHED","2010","WPR","TON","MLE","71.4","71.40000","","",""
"SA_0000001787","SA_0000001787_SUR","PUBLISHED","2009","AMR","SUR","BTSX","73.8","73.80000","","",""
"SA_0000001787","SA_0000001787_PER","PUBLISHED","2010","AMR","PER","MLE","70.2","70.20000","","",""
"SA_0000001787","SA_0000001787_NRU","PUBLISHED","2011","WPR","NRU","BTSX","64.7","64.70000","","",""
"SA_0000001787","SA_0000001787_LBN","PUBLISHED","2011","EMR","LBN","BTSX","87.5","87.50000","","",""
"SA_0000001787","SA_0000001787_HND","PUBLISHED","2012","AMR","HND","FMLE","74.9","74.90000","","",""
"SA_0000001787","SA_0000001787_GTM","PUBLISHED","2009","AMR","GTM","MLE","74.4","74.40000","","",""
"SA_0000001787","SA_0000001787_CRI","PUBLISHED","2009","AMR","CRI","FMLE","76.7","76.70000","","",""
"SA_0000001787","SA_0000001787_KHM","PUBLISHED","2013","WPR","KHM","MLE","46.2","46.20000","","",""
"SA_0000001787","SA_0000001787_BRB","PUBLISHED","2011","AMR","BRB","MLE","88.7","88.70000","","",""
