"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"MDG_0000000024","PUBLISHED","1995","AFR","","62","62.00000","62.00000","62.00000",""
"MDG_0000000024","PUBLISHED","2000","AFR","","72","72.00000","72.00000","72.00000",""
"MDG_0000000024","PUBLISHED","2006","AFR","","75","75.00000","75.00000","75.00000",""
"MDG_0000000024","PUBLISHED","1995","AMR","","78","78.00000","78.00000","78.00000",""
"MDG_0000000024","PUBLISHED","2000","NOTSPEC","WB_HI","75","75.00000","75.00000","75.00000",""
"MDG_0000000024","PUBLISHED","2006","NOTSPEC","WB_HI","66","66.00000","66.00000","66.00000",""
"MDG_0000000024","PUBLISHED","1995","NOTSPEC","WB_LI","68","68.00000","68.00000","68.00000",""
"MDG_0000000024","PUBLISHED","2000","NOTSPEC","WB_LI","79","79.00000","79.00000","79.00000",""
"MDG_0000000024","PUBLISHED","2006","NOTSPEC","WB_LI","84","84.00000","84.00000","84.00000",""
"MDG_0000000024","PUBLISHED","2006","EMR","","86","86.00000","86.00000","86.00000",""
"MDG_0000000024","PUBLISHED","1995","EUR","","69","69.00000","69.00000","69.00000",""
"MDG_0000000024","PUBLISHED","2000","EUR","","77","77.00000","77.00000","77.00000",""
"MDG_0000000024","PUBLISHED","2006","EUR","","70","70.00000","70.00000","70.00000",""
"MDG_0000000024","PUBLISHED","2000","SEAR","","83","83.00000","83.00000","83.00000",""
"MDG_0000000024","PUBLISHED","2006","SEAR","","87","87.00000","87.00000","87.00000",""
"MDG_0000000024","PUBLISHED","1995","NOTSPEC","WB_UMI","71","71.00000","71.00000","71.00000",""
"MDG_0000000024","PUBLISHED","2000","NOTSPEC","WB_UMI","70","70.00000","70.00000","70.00000",""
"MDG_0000000024","PUBLISHED","1995","GLOBAL","","79","79.00000","79.00000","79.00000",""
"MDG_0000000024","PUBLISHED","2000","GLOBAL","","82","82.00000","82.00000","82.00000",""
"MDG_0000000024","PUBLISHED","2000","AMR","","81","81.00000","81.00000","81.00000",""
"MDG_0000000024","PUBLISHED","1995","EMR","","87","87.00000","87.00000","87.00000",""
"MDG_0000000024","PUBLISHED","2000","NOTSPEC","WB_WORLD_INCOME","82","82.00000","82.00000","82.00000",""
"MDG_0000000024","PUBLISHED","1995","NOTSPEC","WB_HI","75","75.00000","75.00000","75.00000",""
"MDG_0000000024","PUBLISHED","2000","NOTSPEC","WB_LMI","87","87.00000","87.00000","87.00000",""
"MDG_0000000024","PUBLISHED","1995","SEAR","","74","74.00000","74.00000","74.00000",""
"MDG_0000000024","PUBLISHED","2006","NOTSPEC","WB_UMI","72","72.00000","72.00000","72.00000",""
"MDG_0000000024","PUBLISHED","2000","WPR","","92","92.00000","92.00000","92.00000",""
"MDG_0000000024","PUBLISHED","2006","AMR","","75","75.00000","75.00000","75.00000",""
"MDG_0000000024","PUBLISHED","2000","EMR","","83","83.00000","83.00000","83.00000",""
"MDG_0000000024","PUBLISHED","1995","NOTSPEC","WB_WORLD_INCOME","79","79.00000","79.00000","79.00000",""
"MDG_0000000024","PUBLISHED","2006","NOTSPEC","WB_WORLD_INCOME","85","85.00000","85.00000","85.00000",""
"MDG_0000000024","PUBLISHED","1995","NOTSPEC","WB_LMI","90","90.00000","90.00000","90.00000",""
"MDG_0000000024","PUBLISHED","2006","NOTSPEC","WB_LMI","87","87.00000","87.00000","87.00000",""
"MDG_0000000024","PUBLISHED","1995","WPR","","91","91.00000","91.00000","91.00000",""
"MDG_0000000024","PUBLISHED","2006","WPR","","92","92.00000","92.00000","92.00000",""
"MDG_0000000024","PUBLISHED","2006","GLOBAL","","85","85.00000","85.00000","85.00000",""
