"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_CTPFHU_40_HH","FPALB2009","PUBLISHED","2009","EUR","ALB","11.91","11.91000","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPALB2015","PUBLISHED","2015","EUR","ALB","12.46","12.46000","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPAUT2004","PUBLISHED","2004","EUR","AUT","2.12","2.11921","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPAUT2009","PUBLISHED","2009","EUR","AUT","2.09","2.09227","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPAUT2014","PUBLISHED","2014","EUR","AUT","3.22","3.22000","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCYP2003","PUBLISHED","2003","EUR","CYP","3.4","3.40338","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCYP2009","PUBLISHED","2009","EUR","CYP","3.47","3.47375","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCYP2015","PUBLISHED","2015","EUR","CYP","5","5.00000","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2007","PUBLISHED","2007","EUR","CZE","0.61","0.61135","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2008","PUBLISHED","2008","EUR","CZE","1.2","1.20235","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2009","PUBLISHED","2009","EUR","CZE","1.22","1.21734","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2010","PUBLISHED","2010","EUR","CZE","1.32","1.31617","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2011","PUBLISHED","2011","EUR","CZE","1.44","1.44458","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPCZE2012","PUBLISHED","2012","EUR","CZE","1.06","1.06477","","",""
"FINPROTECTION_CATA_CTPFHU_40_HH","FPDEU2003","PUBLISHED","2003","EUR","DEU","1.78","1.78170","","",""
