"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_smkless_prev_adult","PUBLISHED","AMR","BRB","MLE","0.0","0.00000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","UKR","FMLE","0.0","0.00000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","ARG","MLE","0.1","0.10000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","GHA","FMLE","0.2","0.20000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","GRC","MLE","0.2","0.20000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","GRC","FMLE","0.2","0.20000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","RUS","FMLE","0.2","0.20000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","BRA","BTSX","0.3","0.30000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","GRD","FMLE","0.3","0.30000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","MEX","BTSX","0.3","0.30000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","KNA","MLE","0.3","0.30000","","",""
"M_smkless_prev_adult","PUBLISHED","EMR","IRQ","FMLE","0.3","0.30000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","TCD","FMLE","0.4","0.40000","","",""
"M_smkless_prev_adult","PUBLISHED","AMR","TTO","MLE","0.5","0.50000","","",""
"M_smkless_prev_adult","PUBLISHED","EMR","EGY","BTSX","0.7","0.70000","","",""
"M_smkless_prev_adult","PUBLISHED","WPR","MYS","BTSX","0.7","0.70000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","SWZ","FMLE","0.8","0.80000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","NGA","FMLE","0.9","0.90000","","",""
"M_smkless_prev_adult","PUBLISHED","WPR","MYS","MLE","0.9","0.90000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","CZE","FMLE","1.3","1.30000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","KAZ","BTSX","1.3","1.30000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","FIN","BTSX","1.4","1.40000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","TKM","BTSX","1.4","1.40000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","ZWE","MLE","1.6","1.60000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","NGA","BTSX","1.9","1.90000","","",""
"M_smkless_prev_adult","PUBLISHED","WPR","PHL","BTSX","2.0","2.00000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","CHE","BTSX","2.7","2.70000","","",""
"M_smkless_prev_adult","PUBLISHED","WPR","PHL","MLE","2.8","2.80000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","NGA","MLE","2.9","2.90000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","SLE","MLE","2.9","2.90000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","FIN","MLE","2.9","2.90000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","LBR","MLE","4.0","4.00000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","ISL","BTSX","4.0","4.00000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","CPV","BTSX","4.6","4.60000","","",""
"M_smkless_prev_adult","PUBLISHED","EMR","YEM","FMLE","4.8","4.80000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","DZA","BTSX","5.3","5.30000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","BEN","FMLE","5.7","5.70000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","MRT","MLE","5.7","5.70000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","ZAF","BTSX","6.5","6.50000","","",""
"M_smkless_prev_adult","PUBLISHED","SEAR","LKA","FMLE","6.9","6.90000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","BFA","BTSX","8.9","8.90000","","",""
"M_smkless_prev_adult","PUBLISHED","EMR","YEM","BTSX","9.2","9.20000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","SWE","BTSX","15.0","15.00000","","",""
"M_smkless_prev_adult","PUBLISHED","AFR","LSO","FMLE","17.1","17.10000","","",""
"M_smkless_prev_adult","PUBLISHED","SEAR","BTN","BTSX","19.7","19.70000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","NOR","MLE","21.0","21.00000","","",""
"M_smkless_prev_adult","PUBLISHED","EUR","UZB","MLE","22.5","22.50000","","",""
"M_smkless_prev_adult","PUBLISHED","SEAR","IND","BTSX","25.9","25.90000","","",""
