"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201501","","4.7 [4.3-5.0]","5.00000","4.00000","5.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201502","","5.2 [4.8-5.7]","5.00000","5.00000","6.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201516","","9.0 [8.7-9.4]","9.00000","9.00000","9.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201517","","5.1 [4.6-5.8]","5.00000","5.00000","6.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201518","","5.7 [5.2-6.2]","6.00000","5.00000","6.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201519","","4.9 [4.5-5.4]","5.00000","4.00000","5.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201532","","5.0 [4.7-5.4]","5.00000","5.00000","5.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201533","","5.9 [5.3-6.5]","6.00000","5.00000","6.00000",""
"tfr","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201534","","5.6 [4.7-6.6]","6.00000","5.00000","7.00000",""
"tfr","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200001","","No data","","","","Not available."
"tfr","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200002","","No data","","","","Not available."
"tfr","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200003","","No data","","","","Not available."
"tfr","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201701","","2.1 [1.8-2.5]","2.00000","2.00000","2.00000",""
"tfr","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201702","","2.2 [2.0-2.5]","2.00000","2.00000","3.00000",""
"tfr","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201703","","2.0 [1.4-2.7]","2.00000","1.00000","3.00000",""
"tfr","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201203","","No data","","","","Not available."
"tfr","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201204","","No data","","","","Not available."
