"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_10","PUBLISHED","2004","GBD_REG14_AFRD","62827","62827.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_AFRE","51639","51639.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_AMRA","1381","1381.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_AMRB","10358","10358.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_AMRD","16446","16446.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_EMRB","10158","10158.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_EMRD","30750","30750.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_EURA","1020","1020.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_EURB","13205","13205.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_EURC","6054","6054.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_SEARB","14177","14177.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_SEARD","26128","26128.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_WPRA","1162","1162.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_WPRB","9268","9268.00000","","",""
"TOTENV_10","PUBLISHED","2004","GBD_REG14_WORLD","24267","24267.00000","","",""
