"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","SEAR","BGD","MLE","54.8","54.80000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","GEO","MLE","55.5","55.50000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","VUT","MLE","62.3","62.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","CIV","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","MWI","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","AND","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","MKD","FMLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","CAF","FMLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","GNQ","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","ETH","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EMR","JOR","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EMR","KWT","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","MOZ","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AMR","DOM","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EMR","SDN","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AMR","LCA","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","RWA","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","ZMB","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","SMR","FMLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","GHA","FMLE","0.4","0.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","EGY","FMLE","0.4","0.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","ZWE","FMLE","0.5","0.50000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BEN","FMLE","0.9","0.90000","","","Smoked tobacco and smokeless tobacco"
"M_def_1_prev_adult","PUBLISHED","AMR","KNA","FMLE","1.1","1.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GIN","FMLE","1.4","1.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BRB","FMLE","1.6","1.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","UGA","FMLE","1.8","1.80000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","BRN","FMLE","2.0","2.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","COG","FMLE","2.1","2.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","KWT","FMLE","2.3","2.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","NER","FMLE","2.4","2.40000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","TLS","FMLE","4.7","4.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","HTI","FMLE","5.0","5.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","MDA","FMLE","5.6","5.60000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","YEM","FMLE","6.0","6.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","MHL","FMLE","6.0","6.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","PAN","BTSX","6.1","6.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","SWZ","BTSX","7.1","7.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","RWA","FMLE","7.2","7.20000","","",""
