"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Camp_airtime","PUBLISHED","AFR","MUS","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","RUS","Yes","","","",""
"Camp_airtime","PUBLISHED","SEAR","IND","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","BEN","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","TGO","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","CMR","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","COL","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","SLV","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","SUR","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","BRA","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","MEX","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","USA","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","GBR","Yes","","","",""
"Camp_airtime","PUBLISHED","SEAR","BGD","Yes","","","",""
"Camp_airtime","PUBLISHED","SEAR","BTN","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","LBN","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","CZE","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","DEU","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","IRL","Yes","","","",""
"Camp_airtime","PUBLISHED","SEAR","THA","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","MYS","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","PLW","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","WSM","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","GHA","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","SEN","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","ARG","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","CRI","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","KWT","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","TUN","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","CHN","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","FJI","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","SGP","Yes","","","",""
"Camp_airtime","PUBLISHED","AMR","CUB","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","IRN","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","ARM","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","LUX","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","YEM","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","VNM","Yes","","","",""
"Camp_airtime","PUBLISHED","AFR","CIV","Yes","","","",""
"Camp_airtime","PUBLISHED","EMR","LBY","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","NLD","Yes","","","",""
"Camp_airtime","PUBLISHED","EUR","PRT","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","BRN","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","MNG","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","NZL","Yes","","","",""
"Camp_airtime","PUBLISHED","WPR","KOR","Yes","","","",""
