"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","EMFRADIOBAND","Display Value","Numeric","Low","High","Comments"
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","ARG","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","ARG","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.36","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","AUS","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.1","","","","1302 V/m : instantaneous limit"
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","AUS","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.1","","","","1841 V/m : instantaneous limit"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FIN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.55","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[41.25]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[58.34]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GRC","EMFPUBLIC","EMFRADIO","EMFFREQ0900","31.9/34.5","","","","The regulation sets limits for power density at 70% of those in the EU Recommendation (ICNIRP 98) (34.5) and 60% when antenna stations are located closer than 300 metres from the property boundaries of schools, kindergartens, hospitals or eldercare facilities (31.9). "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CAN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","32.1","","","","The formula for calculating E-field reference levels at frequencies between 300 MHz and 6 GHz is 3.142 f (exp 0.3417) - where f is the frequency in MHz."
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CAN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","40.07","","","","The formula for calculating E-field reference levels at frequencies between 300 MHz and 6 GHz is 3.142 f (exp 0.3417) - where f is the frequency in MHz."
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CHE","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4/41.25","","","","4 V/m: Installation limit value per location for new and existing antenna installations at places of sensitive use (buildings in which persons stay for longer periods)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CHE","EMFPUBLIC","EMFRADIO","EMFFREQ1800","6/58.34","","","","6 V/m: Installation limit value per location for new and existing antenna installations at places of sensitive use (buildings in which persons stay for longer periods)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CYP","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CYP","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","DEU","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","DEU","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FIN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.4","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","AUT","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","AUT","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","","","","","Brussels: 6 V/m is the limit for cumulative exposure from multiple antenna locations // Flanders: 3 V/m (limit per antenna in residential areas), 20.6 V/m (limit for cumulative exposure from multiple antenna locations. An antenna with multiple bands is counted as multiple separate antennas at the same location) // Walonia: 3 V/m (limit per antenna for frequencies between 100 kHz and 300 GHz) "
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","","","","","Brussels: 8.5 V/m is the limit for cumulative exposure from multiple antenna locations // Flanders: 4.24 V/m (limit per antenna in residential areas), 29 V/m (limit for cumulative exposure from multiple antenna locations. An antenna with multiple bands is counted as multiple separate antennas at the same location) // Walonia: 3 V/m (limit per antenna for frequencies between 100 kHz and 300 GHz) "
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BGR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","6.14","","","","The Ordinance provides a power density limit (in W/m^2), and the electric field (in V/m) is a derived plane wave equivalent value"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BGR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","6.14","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","BHR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","BHR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","BRA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","BRA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GRC","EMFPUBLIC","EMFRADIO","EMFFREQ1800","45.1/48.8","","","","The regulation sets limits for power density at 70% of those in the EU Recommendation (ICNIRP 98) (48.8) and 60% when antenna stations are located closer than 300 metres from the property boundaries of schools, kindergartens, hospitals or eldercare facilities (45.1). "
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","IRN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","IRN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ISR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[13.0]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","TUR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","3/14.5/58","","","","3 V/m: limit per antenna for schools and hospitals (for hospitals a 3 V/m limit (not frequency dependent) is required inside the building for EMC reasons); 14.5 V/m: limit for a single installation; 58 V/m: limit for cumulative exposure from multiple antenna locations. The total exposure cannot exceed ICNIRP and per antenna it should not exceed 1/4 of ICNIRP field limits (1/16 power density). "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","USA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","47.6","","","","Averaging time is 30 minutes. "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","USA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","61.4","","","","Averaging time is 30 minutes. "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZAF","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[41.0]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZAF","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[58.0]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZMB","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZMB","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","SWE","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[41.25]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","SWE","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[58.33]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ISR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[18.0]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ITA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","6/20","","","","The exposure limit is 20 V/m. Moreover, in homes, schools, playgrounds and places where people may stay for longer than 4 hours,  an 'attention value' of 6 V/m is applied and averaged over any 24 hour period. A 'quality goal' for new installations is identical to the attention value."
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ITA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","6/20","","","","The exposure limit is 20 V/m. Moreover, in homes, schools, playgrounds and places where people may stay for longer than 4 hours,  an 'attention value' of 6 V/m is applied and averaged over any 24 hour period. A 'quality goal' for new installations is identical to the attention value."
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NOR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NOR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","NZL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","NZL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","JPN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","47.55","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","JPN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","61.4","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","KOR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","KOR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","MYS","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","MYS","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NLD","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NLD","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","TUN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","TUN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","TUR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","3/10.23/41.0","","","","3 V/m: limit per antenna for schools and hospitals (for hospitals a 3 V/m limit (not frequency dependent) is required inside the building for EMC reasons); 10.23 V/m: limit for a single installation; 41 V/m: limit for cumulative exposure from multiple antenna locations. The total exposure cannot exceed ICNIRP and per antenna it should not exceed 1/4 of ICNIRP field limits (1/16 power density). "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","PER","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","PER","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","PHL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","PHL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","SAU","EMFPUBLIC","EMFRADIO","EMFFREQ0900","41.25","","","",""
