"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EMR","KGZ","DEC2019","0.4 [0.3-0.4]","0.40000","0.30000","0.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EMR","KGZ","DEC2019","0.5 [0.4-0.5]","0.50000","0.40000","0.50000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EMR","AFG","DEC2019","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AFR","AGO","DEC2019","1.4 [1.2-1.5]","1.40000","1.20000","1.50000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","ALB","DEC2019","2.5 [2.3-2.8]","2.50000","2.30000","2.80000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","AND","DEC2019","1.6 [1.5-1.8]","1.60000","1.50000","1.80000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EMR","ARE","DEC2019","1.8 [1.7-2]","1.80000","1.70000","2.00000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","ARG","DEC2019","1.3 [1.2-1.5]","1.30000","1.20000","1.50000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","ARM","DEC2019","1.7 [1.5-1.8]","1.70000","1.50000","1.80000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","ATG","DEC2019","1.2 [1-1.3]","1.20000","1.00000","1.30000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","WPR","AUS","DEC2019","0.8 [0.7-0.9]","0.80000","0.70000","0.90000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","AUT","DEC2019","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","AZE","DEC2019","0.3 [0.2-0.3]","0.30000","0.20000","0.30000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AFR","BDI","DEC2019","3.4 [3-3.7]","3.40000","3.00000","3.70000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","BEL","DEC2019","1 [0.9-1.1]","1.00000","0.90000","1.10000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AFR","BEN","DEC2019","1.5 [1.3-1.6]","1.50000","1.30000","1.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AFR","BFA","DEC2019","3.3 [3-3.6]","3.30000","3.00000","3.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","SEAR","BGD","DEC2019","0 [0-0]","0.00000","0.00000","0.00000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","BGR","DEC2019","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EMR","BHR","DEC2019","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","BHS","DEC2019","1.2 [1.1-1.3]","1.20000","1.10000","1.30000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","BIH","DEC2019","1.8 [1.6-2]","1.80000","1.60000","2.00000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","EUR","BLR","DEC2019","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","BLZ","DEC2019","1.4 [1.3-1.6]","1.40000","1.30000","1.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","BOL","DEC2019","1.2 [1.1-1.3]","1.20000","1.10000","1.30000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","BRA","DEC2019","1.2 [1.1-1.4]","1.20000","1.10000","1.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2016","AMR","BRB","DEC2019","1.4 [1.2-1.5]","1.40000","1.20000","1.50000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EMR","AFG","DEC2019","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","AFR","AGO","DEC2019","1.6 [1.4-1.7]","1.60000","1.40000","1.70000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","ALB","DEC2019","2.2 [2-2.4]","2.20000","2.00000","2.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","AND","DEC2019","0.8 [0.8-0.9]","0.80000","0.80000","0.90000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EMR","ARE","DEC2019","1.5 [1.4-1.7]","1.50000","1.40000","1.70000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","AMR","ARG","DEC2019","1 [0.9-1.1]","1.00000","0.90000","1.10000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","ARM","DEC2019","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","AMR","ATG","DEC2019","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","WPR","AUS","DEC2019","1.8 [1.6-2]","1.80000","1.60000","2.00000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","AUT","DEC2019","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","AZE","DEC2019","0.9 [0.9-1]","0.90000","0.90000","1.00000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","AFR","BDI","DEC2019","3 [2.7-3.3]","3.00000","2.70000","3.30000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","EUR","BEL","DEC2019","0.5 [0.5-0.6]","0.50000","0.50000","0.60000",""
"SA_0000001821_ARCHIVED","PUBLISHED","2010","AFR","BEN","DEC2019","1 [0.9-1.1]","1.00000","0.90000","1.10000",""
