"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PENALTYTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_FINES","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_DETENTION_SHORT_LONG_TERM","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_IGNITION_INTERLOCKS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_FINES","No","","","",""
