"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"stunt3","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","URB","","","31.9 [28.5-35.5]","31.90973","28.50774","35.51603",""
"stunt3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","URB","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","URB","","","No data","","","","Not available."
"stunt3","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","RUR","","","34.0 [31.6-36.5]","33.96694","31.56127","36.45828",""
"stunt3","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","URB","","","29.1 [25.0-33.6]","29.14623","25.02446","33.64228",""
"stunt3","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","RUR","","","43.1 [41.2-45.0]","43.10088","41.18972","45.03282",""
"stunt3","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","URB","","","36.2 [33.8-38.6]","36.17211","33.82794","38.58400",""
"stunt3","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","RUR","","","37.1 [34.9-39.3]","37.07538","34.94359","39.25875",""
"stunt3","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","URB","","","41.3 [35.5-47.5]","41.34702","35.49317","47.45606",""
"stunt3","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","RUR","","","48.1 [45.6-50.7]","48.13577","45.57253","50.70885",""
"stunt3","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","URB","","","41.4 [37.0-45.8]","41.35386","37.02622","45.81927",""
"stunt3","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","RUR","","","40.1 [37.8-42.5]","40.10352","37.76723","42.48568",""
"stunt3","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","URB","","","33.9 [30.4-37.6]","33.91771","30.40958","37.61182",""
"stunt3","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","URB","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","URB","","","No data","","","","Not available."
"stunt3","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","RUR","","","43.2 [39.9-46.7]","43.24456","39.85950","46.69390",""
"stunt3","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","URB","","","26.2 [23.6-28.9]","26.17191","23.59614","28.92241",""
"stunt3","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","URB","","","32.7 [29.9-35.8]","32.74189","29.85246","35.76838",""
"stunt3","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","URB","","","No data","","","","Not available."
"stunt3","EQ_DHS","PUBLISHED","1998","AFR","CIV","","","RUR","","","30.5 [25.7-35.7]","30.48781","25.73103","35.70123",""
"stunt3","EQ_DHS","PUBLISHED","1998","AFR","CIV","","","URB","","","22.4 [18.4-27.0]","22.41026","18.41523","26.98531",""
"stunt3","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","URB","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2010","AFR","COD","","","RUR","","","No data","","","","Not available."
"stunt3","EQ_MICS","PUBLISHED","2010","AFR","COD","","","URB","","","No data","","","","Not available."
"stunt3","EQ_DHS","PUBLISHED","2005","AFR","COG","","","RUR","","","29.4 [26.0-33.1]","29.39934","25.97472","33.07375",""
