"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001830","SA_0000001830_TUN","PUBLISHED","2016","EMR","TUN","4","4.00000","","",""
"SA_0000001830","SA_0000001830_ALB","PUBLISHED","2016","EUR","ALB","5.09","5.09000","","",""
"SA_0000001830","SA_0000001830_FIN","PUBLISHED","2016","EUR","FIN","11.69","11.69000","","",""
"SA_0000001830","SA_0000001830_FRA","PUBLISHED","2016","EUR","FRA","5.85","5.85000","","",""
"SA_0000001830","SA_0000001830_NLD","PUBLISHED","2016","EUR","NLD","8.45","8.45000","","",""
"SA_0000001830","SA_0000001830_NOR","PUBLISHED","2016","EUR","NOR","16.33","16.33000","","",""
"SA_0000001830","SA_0000001830_MKD","PUBLISHED","2016","EUR","MKD","3.8","3.80000","","",""
"SA_0000001830","SA_0000001830_UKR","PUBLISHED","2016","EUR","UKR","3.2","3.20000","","",""
"SA_0000001830","SA_0000001830_GBR","PUBLISHED","2016","EUR","GBR","10.64","10.64000","","",""
"SA_0000001830","SA_0000001830_AUS","PUBLISHED","2016","WPR","AUS","11.4","11.40000","","",""
"SA_0000001830","SA_0000001830_PHL","PUBLISHED","2016","WPR","PHL","5.73","5.73000","","",""
