"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","EMR","EGY","","WQ2","129.7","129.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","EMR","EGY","","WQ3","103.4","103.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","EMR","EGY","","WQ4","71.5","71.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","AMR","GTM","","","123.3","123.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","AMR","GTM","URB","","94.7","94.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","ETH","","WQ5","13.1","13.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","109.1","109.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","ETH","","WQ3","51.4","51.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","ETH","","WQ4","53.9","53.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","ETH","","WQ5","21.4","21.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","GAB","","","144.4","144.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2003","AFR","GHA","URB","","42.0","42.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2003","AFR","GHA","RUR","","111.7","111.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2008","AFR","GHA","","WQ5","11.6","11.60000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","AFR","GHA","","","247.0","247.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","AFR","GHA","URB","","209.0","209.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","AFR","GHA","RUR","","270.0","270.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","AMR","GUY","RUR","","115.5","115.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","AMR","GUY","","WQ1","81.5","81.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","AMR","GUY","","WQ2","53.1","53.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2005","AFR","GIN","RUR","","186.4","186.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2005","AFR","GIN","","WQ1","150.8","150.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2005","AFR","GIN","","WQ2","120.9","120.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","AMR","GUY","URB","","49.3","49.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","AMR","GUY","","WQ3","41.3","41.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","WQ3","104.1","104.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","WQ4","96.5","96.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","WQ5","76.9","76.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2002","SEAR","IDN","","","147.0","147.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","SEAR","IDN","","WQ4","63.4","63.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","SEAR","IDN","","WQ5","86.1","86.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","SEAR","IDN","","","46.9","46.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AMR","HND","","WQ4","61.1","61.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AMR","HND","","WQ5","41.4","41.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","SEAR","IND","","WQ2","179.8","179.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","SEAR","IND","","WQ3","141.1","141.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","SEAR","IND","","WQ4","113.0","113.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","SEAR","IDN","URB","","31.3","31.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AMR","HTI","RUR","","99.5","99.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AMR","HTI","","WQ1","93.5","93.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AMR","HTI","","WQ2","76.3","76.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","SEAR","IND","","WQ5","67.9","67.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AMR","HTI","","WQ3","68.4","68.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","AMR","HTI","","WQ1","112.9","112.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","AMR","HTI","","WQ2","66.5","66.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","AMR","HTI","","WQ3","56.4","56.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","AMR","HTI","","WQ4","35.7","35.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AMR","HND","","WQ1","134.7","134.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AMR","HND","","WQ2","98.7","98.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AMR","HND","","WQ3","84.9","84.90000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","WQ1","200.0","200.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","WQ2","187.0","187.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","WQ3","186.0","186.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","WQ4","172.0","172.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","WQ5","140.0","140.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2003","AFR","KEN","RUR","","127.0","127.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","78.5","78.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EUR","KGZ","URB","","51.7","51.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EUR","KGZ","RUR","","90.4","90.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","WQ1","66.3","66.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EMR","JOR","","WQ2","156.4","156.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EMR","JOR","","WQ3","145.7","145.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EMR","JOR","","WQ4","122.1","122.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1997","EMR","JOR","","WQ5","141.7","141.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","EMR","JOR","","WQ3","106.8","106.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","EMR","JOR","","WQ4","106.9","106.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","EMR","JOR","","WQ5","136.6","136.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2009","EMR","JOR","","","164.7","164.70000","","",""
