"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","UN_Europe","","","","56.17","56.17330","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","UN_Asia","","","","649.06","649.05640","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","UN_Africa","","","","109.77","109.76770","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_WESTERNASIANORTHERNAFR","58.03","58.03050","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_SUBSAHARANAFRICA","69.69","69.68980","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_OCEANIA","1.45","1.45020","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_NORTHERNAMR","15.78","15.77500","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_LAC","94.36","94.35630","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_EUROPE","56.17","56.17330","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","312.37","312.37410","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_CENTRALASIASOUTHERNASIA","318.73","318.72980","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","WPR","","","","","292.62","292.61850","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","SEAR","","","","","307.41","307.40580","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","926.58","926.57900","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","EUR","","","","","67.43","67.42570","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","EMR","","","","","76.88","76.87850","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","AMR","","","","","109.77","109.77060","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","AFR","","","","","71.06","71.06270","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_EAP","","301.03","301.02740","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_ECA","","58.57","58.56690","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_LAC","","109.54","109.54100","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_MNA","","48.72","48.71660","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_NAR","","15.64","15.63560","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_SAR","","226.49","226.49210","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","WB_SSA","","68.29","68.28540","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","AFR","","","","","52.55","52.55270","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","AMR","","","","","104.17","104.16550","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","EMR","","","","","46.95","46.95240","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","EUR","","","","","56.25","56.25200","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","738.06","738.05620","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","SEAR","","","","","218.71","218.71440","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","WPR","","","","","258.22","258.21870","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_CENTRALASIASOUTHERNASIA","225.24","225.24050","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","268.94","268.93670","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_EUROPE","46.92","46.92080","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_LAC","87.09","87.08840","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_NORTHERNAMR","17.42","17.41570","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_OCEANIA","1.05","1.04950","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_SUBSAHARANAFRICA","51.26","51.26180","","",""
