"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WHS9_CS","PUBLISHED","2010","AFR","","COM","","22","22.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","COG","","94","94.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","COK","","38","38.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","CRI","","65","65.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","HRV","","144","144.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","CUB","","9","9.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","CYP","","94","94.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","CZE","","137","137.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","CIV","","76","76.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","PRK","","2","2.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","COD","","18","18.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","DNK","","125","125.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","DJI","","19","19.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","DMA","","156","156.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","DOM","","90","90.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","ECU","","102","102.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","EGY","","87","87.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","SLV","","124","124.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GNQ","","57","57.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","ERI","","4","4.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","EST","","123","123.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","ETH","","8","8.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","FJI","","81","81.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","FIN","","156","156.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","FRA","","101","101.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GAB","","107","107.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GMB","","86","86.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","GEO","","91","91.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","DEU","","127","127.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GHA","","71","71.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","GRC","","108","108.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","GRD","","117","117.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","GTM","","126","126.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GIN","","40","40.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","GNB","","39","39.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","GUY","","74","74.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","HTI","","40","40.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","HND","","125","125.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","HUN","","120","120.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ISL","","107","107.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","IND","","61","61.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","IDN","","92","92.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","IRN","","91","91.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","IRQ","","76","76.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","IRL","","105","105.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ISR","","133","133.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ITA","","150","150.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","JAM","","116","116.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","JPN","","95","95.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","JOR","","107","107.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","KAZ","","121","121.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","KEN","","62","62.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","KIR","","10","10.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","KWT","","161","161.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","KGZ","","99","99.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","LAO","","65","65.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","LVA","","102","102.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","LBN","","68","68.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","LSO","","45","45.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","LBR","","39","39.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","LBY","","172","172.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","LTU","","147","147.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","LUX","","143","143.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MDG","","37","37.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MWI","","20","20.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","MYS","","119","119.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","MDV","","157","157.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MLI","","48","48.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","MLT","","109","109.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","MHL","","7","7.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MRT","","79","79.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MUS","","92","92.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","MEX","","81","81.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","FSM","","25","25.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","MCO","","74","74.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","MNG","","91","91.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","MNE","","185","185.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","MAR","","100","100.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","MOZ","","31","31.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","MMR","","1","1.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","NAM","","67","67.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","NRU","","60","60.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","NPL","","31","31.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","NLD","","115","115.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","NZL","","115","115.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","NIC","","65","65.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","NER","","25","25.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","NGA","","55","55.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","NIU","","0","0.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","NOR","","116","116.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","OMN","","166","166.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","PAK","","57","57.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","PLW","","71","71.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","PAN","","185","185.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","PNG","","28","28.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","PRY","","92","92.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","PER","","100","100.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","PHL","","86","86.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","POL","","123","123.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","PRT","","142","142.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","QAT","","132","132.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","KOR","","105","105.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","MDA","","89","89.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ROU","","115","115.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","RUS","","166","166.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","RWA","","33","33.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","KNA","","153","153.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","LCA","","114","114.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","VCT","","121","121.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","WSM","","91","91.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","SMR","","76","76.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","STP","","62","62.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","SAU","","188","188.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","SEN","","67","67.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","SRB","","129","129.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","SYC","","136","136.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","SLE","","34","34.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","SGP","","145","145.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","SVK","","108","108.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","SVN","","105","105.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","SLB","","6","6.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","SOM","","7","7.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","ZAF","","100","100.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ESP","","112","112.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","LKA","","83","83.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","SDN","","41","41.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","SUR","","170","170.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","SWZ","","62","62.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","SWE","","116","116.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","CHE","","124","124.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","SYR","","58","58.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","TJK","","86","86.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","THA","","104","104.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","MKD","","105","105.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","TLS","","53","53.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","TGO","","41","41.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","TON","","52","52.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","TTO","","141","141.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","TUN","","106","106.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","TUR","","85","85.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","TKM","","63","63.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","TUV","","25","25.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","UGA","","38","38.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","UKR","","119","119.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","ARE","","145","145.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","GBR","","131","131.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","TZA","","47","47.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","USA","","90","90.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","URY","","132","132.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","UZB","","76","76.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","VUT","","119","119.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","VEN","","96","96.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","VNM","","175","175.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","YEM","","46","46.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","ZMB","","42","42.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","ZWE","","61","61.00000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","AFG","","54","54.26000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ALB","","96","96.39000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","ARG","","135","134.92000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","AUT","","155","154.78000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","AGO","","48","48.38000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","AZE","","109","108.75000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","AUS","","108","108.34000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","DZA","","99","98.99000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","ATG","","196","196.41000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ARM","","104","103.57000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","AND","","75","75.49000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","BTN","","66","65.58000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","BHS","","86","86.06000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","BIH","","85","84.52000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","BLZ","","70","69.96000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","BEL","","117","116.61000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","BRB","","127","127.01000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","BGD","","56","56.06000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","BHR","","128","127.96000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","BLR","","112","111.88000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","BEN","","85","85.33000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","BOL","","83","82.82000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","BWA","","143","142.82000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","BGR","","141","140.68000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","CMR","","52","52.35000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","CPV","","79","79.19000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","TCD","","32","31.80000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","KHM","","96","96.17000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","BRA","","124","124.26000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","BDI","","22","22.33000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","BFA","","45","45.27000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","CAF","","41","40.65000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","CAN","","80","79.73000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","BRN","","109","109.17000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","CUB","","12","11.69000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","CIV","","86","86.06000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","COL","","98","98.45000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","HRV","","116","116.37000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","CRI","","92","92.20000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","COG","","94","93.84000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","CHN","","73","73.19000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","COM","","29","28.71000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","CHL","","130","129.71000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","CYP","","98","97.71000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","CZE","","123","123.44000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","COD","","23","23.09000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","DMA","","164","164.02000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GNQ","","59","59.15000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","SLV","","134","133.54000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","DOM","","87","87.22000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","DJI","","21","21.32000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","ECU","","105","104.55000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","EST","","139","138.98000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","PRK","","4","4.09000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","EGY","","101","101.08000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","ERI","","4","4.47000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","DNK","","128","128.47000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","GRC","","106","106.48000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","DEU","","132","132.30000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","GEO","","102","102.31000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GMB","","79","78.89000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GHA","","85","84.78000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GAB","","117","117.32000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","FRA","","95","94.79000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","FIN","","166","166.02000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","FJI","","84","83.72000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","ETH","","17","16.67000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","HTI","","41","41.49000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","IRN","","75","74.93000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","HND","","104","103.97000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GNB","","56","56.18000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","GTM","","140","140.38000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","IND","","72","72.00000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ISL","","106","106.08000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","GUY","","70","69.94000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","GIN","","44","44.02000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","HUN","","117","117.30000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","IDN","","103","103.09000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","IRQ","","78","78.12000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","KEN","","67","67.49000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","KIR","","14","13.64000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","KGZ","","116","116.40000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ISR","","122","121.66000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","IRL","","108","108.41000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","JOR","","118","118.20000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ITA","","158","157.93000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","JAM","","108","108.12000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","KWT","","175","175.09000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","KAZ","","156","155.74000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","LAO","","87","87.16000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","JPN","","105","104.95000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","LBN","","79","78.65000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","LBR","","49","49.17000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MWI","","26","25.69000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","LSO","","56","56.17000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","LBY","","156","155.70000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","LTU","","151","151.30000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","MDV","","166","165.72000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","MYS","","127","127.04000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","LVA","","103","102.94000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","LUX","","148","148.27000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MDG","","41","40.65000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","MNG","","105","105.08000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","MAR","","113","113.26000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","MCO","","90","89.73000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","MLT","","125","124.86000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","MEX","","82","82.38000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MOZ","","33","32.83000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MUS","","99","99.04000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MLI","","68","68.32000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","MRT","","94","93.60000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","NOR","","116","115.62000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","NAM","","96","96.39000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","NGA","","59","58.58000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","NIC","","82","82.15000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","NRU","","65","65.00000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","NER","","30","29.52000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","NZL","","109","109.19000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","MMR","","3","2.57000","","",""
"WHS9_CS","PUBLISHED","2011","SEAR","","NPL","","44","43.81000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","OMN","","169","168.97000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","PAN","","189","188.60000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","PNG","","34","34.22000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","PER","","110","110.41000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","QAT","","123","123.11000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","PAK","","62","61.61000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","PLW","","75","74.94000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","POL","","131","130.97000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","PRT","","115","115.39000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","PRY","","99","99.40000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","KOR","","109","108.50000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","","PHL","","99","99.30000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ROU","","109","109.16000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","VCT","","121","120.52000","","",""
"WHS9_CS","PUBLISHED","2011","EMR","","SAU","","191","191.24000","","",""
"WHS9_CS","PUBLISHED","2011","AMR","","LCA","","123","123.00000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","MDA","","105","104.80000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","RUS","","179","179.31000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","SMR","","112","111.75000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","SEN","","73","73.25000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","STP","","68","68.26000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","RWA","","41","40.63000","","",""
"WHS9_CS","PUBLISHED","2011","AFR","","SLE","","36","35.63000","","",""
"WHS9_CS","PUBLISHED","2011","EUR","","ESP","","113","113.22000","","",""
