"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WHS9_CS","PUBLISHED","2010","EMR","","AFG","","41","41.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ALB","","142","142.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","DZA","","92","92.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","AND","","77","77.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","AGO","","47","47.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","ATG","","189","189.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","ARG","","142","142.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","ARM","","125","125.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","AUS","","101","101.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","AUT","","146","146.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","AZE","","99","99.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","BHS","","125","125.00000","","",""
"WHS9_CS","PUBLISHED","2010","EMR","","BHR","","124","124.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","BGD","","46","46.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","BRB","","128","128.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","BLR","","108","108.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","BEL","","113","113.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","BLZ","","62","62.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","BEN","","80","80.00000","","",""
"WHS9_CS","PUBLISHED","2010","SEAR","","BTN","","54","54.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","BOL","","72","72.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","BIH","","83","83.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","BWA","","118","118.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","BRA","","104","104.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","BRN","","109","109.00000","","",""
"WHS9_CS","PUBLISHED","2010","EUR","","BGR","","136","136.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","BFA","","35","35.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","BDI","","14","14.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","KHM","","58","58.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","CMR","","44","44.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","CAN","","71","71.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","CPV","","75","75.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","CAF","","22","22.00000","","",""
"WHS9_CS","PUBLISHED","2010","AFR","","TCD","","24","24.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","CHL","","116","116.00000","","",""
"WHS9_CS","PUBLISHED","2010","WPR","","CHN","","64","64.00000","","",""
"WHS9_CS","PUBLISHED","2010","AMR","","COL","","96","96.00000","","",""
