"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ3","99.0","99.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ4","87.0","87.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","TCD","","WQ5","81.0","81.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","102.0","102.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","URB","","75.0","75.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ3","53.0","53.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ4","54.0","54.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ5","49.0","49.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","97.0","97.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","URB","","80.0","80.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","RUR","","108.0","108.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ1","120.0","120.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ2","81.0","81.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ3","93.0","93.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ4","53.0","53.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","WQ5","47.0","47.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","74.0","74.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","URB","","68.0","68.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","RUR","","79.0","79.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ1","91.0","91.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ2","64.0","64.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ3","68.0","68.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ4","53.0","53.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ5","41.0","41.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","62.0","62.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","URB","","55.0","55.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","RUR","","68.0","68.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ1","72.0","72.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","106.2","106.20000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","RUR","","108.0","108.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ1","35.0","35.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ2","29.0","29.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ3","33.0","33.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ4","25.0","25.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","WQ5","12.0","12.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","","21.0","21.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","URB","","21.0","21.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","RUR","","23.0","23.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ1","31.0","31.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ2","27.0","27.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ3","9.0","9.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2000","AMR","COL","","WQ4","16.0","16.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","","19.0","19.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","URB","","17.0","17.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","RUR","","24.0","24.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","WQ1","28.0","28.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","WQ2","25.0","25.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","WQ3","23.0","23.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","WQ4","11.0","11.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AMR","COL","","WQ5","15.0","15.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","","16.0","16.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","URB","","15.0","15.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","RUR","","17.0","17.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","WQ1","27.0","27.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","WQ2","19.0","19.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","WQ1","97.0","97.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","WQ2","101.0","101.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","WQ3","107.0","107.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","WQ4","101.0","101.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2004","AFR","TCD","","WQ5","47.0","47.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","108.2","108.20000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","URB","","104.0","104.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","RUR","","108.9","108.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ1","128.5","128.50000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ2","118.3","118.30000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ3","114.7","114.70000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ4","105.0","105.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","TCD","","WQ5","72.6","72.60000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","","16.0","16.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","URB","","20.0","20.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","RUR","","9.0","9.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ1","41.0","41.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ2","26.0","26.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ3","19.0","19.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ4","26.0","26.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1990","AMR","COL","","WQ5","24.0","24.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","","","28.0","28.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","URB","","26.0","26.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1995","AMR","COL","RUR","","32.0","32.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","WQ3","17.0","17.00000","","",""
