"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","3.58","3.57680","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_EUROPE","0.99","0.98926","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_LAC","2.96","2.95753","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_NORTHERNAMR","0.76","0.76314","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_OCEANIA","0.47","0.47312","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_SUBSAHARANAFRICA","1.73","1.73348","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_WESTERNASIANORTHERNAFR","1.81","1.81240","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Africa","","","","1.84","1.84173","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Asia","","","","3.22","3.21534","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Europe","","","","0.99","0.98926","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Latin America_Caribbean","","","","2.96","2.95753","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Northern_America","","","","0.76","0.76314","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","UN_Oceania","","","","0.47","0.47312","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","WB_HI","","","1.03","1.02900","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","WB_LI","","","2.00","2.00173","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","WB_LMI","","","2.47","2.46879","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","WB_UMI","","","3.68","3.67860","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_EAP","","3.52","3.52467","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_ECA","","1.05","1.04883","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_LAC","","2.96","2.95753","","",""
