"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_51","PUBLISHED","2016","EUR","ALB","BTSX","ENVCAUSE118","4 [1–8]","3.87352","1.02193","8.20866",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE113","17 [5–35]","17.23003","4.74450","35.47183",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE068","6 [2–11]","6.00890","1.84938","11.25099",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE114","14 [4–30]","13.57271","3.61856","30.23229",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE039","3 [1–6]","2.87360","0.92209","5.56217",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE000","43 [12–87]","42.82173","12.24801","87.00356",""
"AIR_51","PUBLISHED","2016","EUR","ALB","FMLE","ENVCAUSE118","3 [1–6]","3.13649","0.85035","6.16087",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE114","13 [3–27]","12.50627","3.35296","27.32879",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE068","9 [2–17]","8.61558","2.42951","17.08669",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE113","22 [6–46]","22.42798","5.98453","45.63925",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE039","3 [1–7]","3.33238","1.02381","6.62512",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE118","5 [1–11]","4.59608","0.64731","10.98633",""
"AIR_51","PUBLISHED","2016","EUR","ALB","MLE","ENVCAUSE000","51 [14–103]","51.47829","14.32165","103.39503",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE114","0 [0–1]","0.12927","0.00000","0.92849",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE068","0 [0–0]","0.03120","0.00000","0.21900",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE039","0 [0–0]","0.06313","0.00000","0.42474",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE113","0 [0–2]","0.33571","0.00000","2.39966",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE000","1 [0–4]","0.62945","0.00000","4.36474",""
"AIR_51","PUBLISHED","2016","EMR","ARE","BTSX","ENVCAUSE118","0 [0–1]","0.07014","0.00000","0.52529",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE068","0 [0–0]","0.03238","0.00000","0.21807",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE113","0 [0–1]","0.18412","0.00000","1.27145",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE114","0 [0–1]","0.12688","0.00000","0.89984",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE039","0 [0–0]","0.06444","0.00000","0.44596",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE118","0 [0–0]","0.04627","0.00000","0.33072",""
"AIR_51","PUBLISHED","2016","EMR","ARE","FMLE","ENVCAUSE000","0 [0–3]","0.45409","0.00000","3.18079",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE114","0 [0–1]","0.13017","0.00000","0.93053",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE039","0 [0–0]","0.06264","0.00000","0.42035",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE113","0 [0–3]","0.39245","0.00000","2.77845",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE068","0 [0–0]","0.03076","0.00000","0.22616",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE000","1 [0–5]","0.69510","0.00000","4.81543",""
"AIR_51","PUBLISHED","2016","EMR","ARE","MLE","ENVCAUSE118","0 [0–1]","0.07908","0.00000","0.61408",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE113","1 [0–2]","0.66573","0.02207","2.25912",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE068","0 [0–1]","0.38586","0.01184","1.28335",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE039","1 [0–5]","1.42872","0.04444","4.61361",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE114","0 [0–1]","0.27722","0.00942","0.92922",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE000","4 [0–11]","3.55816","0.11619","11.33706",""
"AIR_51","PUBLISHED","2016","AMR","ARG","BTSX","ENVCAUSE118","1 [0–3]","0.80063","0.02611","2.87716",""
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE039","2 [0–5]","1.61298","0.04915","5.13261",""
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE113","1 [0–2]","0.62288","0.02044","2.13194",""
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE114","0 [0–1]","0.28426","0.00939","0.95945",""
