"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"CHILDMORT5TO14","PUBLISHED","2014","AFR","","","BTSX","19.6","19.61930","","",""
"CHILDMORT5TO14","PUBLISHED","2015","AFR","","","BTSX","19.0","19.03297","","",""
"CHILDMORT5TO14","PUBLISHED","2016","AFR","","","BTSX","18.5","18.47641","","",""
"CHILDMORT5TO14","PUBLISHED","2017","AFR","","","BTSX","17.9","17.94457","","",""
"CHILDMORT5TO14","PUBLISHED","2018","AFR","","","BTSX","17.4","17.43559","","",""
"CHILDMORT5TO14","PUBLISHED","1990","AMR","","","BTSX","5.1","5.05832","","",""
"CHILDMORT5TO14","PUBLISHED","1991","AMR","","","BTSX","4.9","4.86991","","",""
"CHILDMORT5TO14","PUBLISHED","1992","AMR","","","BTSX","4.7","4.68697","","",""
"CHILDMORT5TO14","PUBLISHED","1993","AMR","","","BTSX","4.5","4.51727","","",""
"CHILDMORT5TO14","PUBLISHED","1994","AMR","","","BTSX","4.4","4.36433","","",""
"CHILDMORT5TO14","PUBLISHED","1995","AMR","","","BTSX","4.2","4.22253","","",""
"CHILDMORT5TO14","PUBLISHED","1996","AMR","","","BTSX","4.1","4.08793","","",""
"CHILDMORT5TO14","PUBLISHED","1997","AMR","","","BTSX","4.0","3.95946","","",""
"CHILDMORT5TO14","PUBLISHED","1998","AMR","","","BTSX","4.0","4.00211","","",""
"CHILDMORT5TO14","PUBLISHED","1999","AMR","","","BTSX","4.0","3.96846","","",""
"CHILDMORT5TO14","PUBLISHED","2000","AMR","","","BTSX","3.6","3.60834","","",""
"CHILDMORT5TO14","PUBLISHED","2001","AMR","","","BTSX","3.5","3.52407","","",""
"CHILDMORT5TO14","PUBLISHED","2002","AMR","","","BTSX","3.4","3.42215","","",""
"CHILDMORT5TO14","PUBLISHED","2003","AMR","","","BTSX","3.3","3.34484","","",""
"CHILDMORT5TO14","PUBLISHED","2004","AMR","","","BTSX","3.3","3.28007","","",""
"CHILDMORT5TO14","PUBLISHED","2005","AMR","","","BTSX","3.2","3.22212","","",""
"CHILDMORT5TO14","PUBLISHED","2006","AMR","","","BTSX","3.1","3.13850","","",""
"CHILDMORT5TO14","PUBLISHED","2007","AMR","","","BTSX","3.1","3.07002","","",""
"CHILDMORT5TO14","PUBLISHED","2008","AMR","","","BTSX","3.0","2.99854","","",""
"CHILDMORT5TO14","PUBLISHED","2009","AMR","","","BTSX","2.9","2.92519","","",""
"CHILDMORT5TO14","PUBLISHED","2010","AMR","","","BTSX","5.3","5.25214","","",""
"CHILDMORT5TO14","PUBLISHED","2011","AMR","","","BTSX","2.8","2.78005","","",""
"CHILDMORT5TO14","PUBLISHED","2012","AMR","","","BTSX","2.7","2.71272","","",""
"CHILDMORT5TO14","PUBLISHED","2013","AMR","","","BTSX","2.7","2.65096","","",""
"CHILDMORT5TO14","PUBLISHED","2014","AMR","","","BTSX","2.6","2.59631","","",""
"CHILDMORT5TO14","PUBLISHED","2013","AFR","","","BTSX","20.2","20.21047","","",""
"CHILDMORT5TO14","PUBLISHED","2012","AFR","","","BTSX","20.8","20.83008","","",""
"CHILDMORT5TO14","PUBLISHED","2011","AFR","","","BTSX","21.5","21.46384","","",""
"CHILDMORT5TO14","PUBLISHED","2010","AFR","","","BTSX","22.1","22.14876","","",""
"CHILDMORT5TO14","PUBLISHED","2009","AFR","","","BTSX","22.9","22.88176","","",""
"CHILDMORT5TO14","PUBLISHED","2008","AFR","","","BTSX","23.7","23.66434","","",""
"CHILDMORT5TO14","PUBLISHED","2007","AFR","","","BTSX","24.5","24.49367","","",""
