"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201227","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201229","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200804","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200806","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200811","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200813","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200820","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200822","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2006","EMR","PAK","PAKDHS200601","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199303","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199305","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199312","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199314","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199802","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199807","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199809","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199816","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200301","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200303","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200310","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200312","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200801","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200808","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200810","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200817","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201301","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201306","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201308","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201315","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201317","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","ZAFDHS199806","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","AFR","ZAF","ZAFDHS199808","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","EUR","UKR","UKRDHS200701","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AFR","TZA","TZADHS199906","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199701","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199706","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200205","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200207","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","SEAR","BGD","BGDDHS199301","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","SEAR","BGD","BGDDHS199303","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2000","WPR","KHM","KHMDHS200022","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199901","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199903","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199908","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199401","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199406","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199408","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199415","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199417","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199424","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199426","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199704","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199706","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199711","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199713","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199720","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199722","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200207","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200209","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200216","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200218","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200223","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200225","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200705","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200707","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200714","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200716","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200721","No data","","","","Not available."
