"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000008","NLIS_310349","PUBLISHED","1987-1989","WPR","VNM","BTSX","40.7","40.70000","","",""
"WHOSIS_000008","NLIS_311997","PUBLISHED","1999","WPR","VNM","BTSX","32.8","32.80000","","",""
"WHOSIS_000008","NLIS_312951","PUBLISHED","1999","WPR","VNM","FMLE","30.3","30.30000","","",""
"WHOSIS_000008","NLIS_313097","PUBLISHED","2010-2011","WPR","KHM","BTSX","29.0","29.00000","","",""
"WHOSIS_000008","NLIS_312931","PUBLISHED","2008","WPR","KHM","BTSX","28.8","28.80000","","",""
"WHOSIS_000008","NLIS_313202","PUBLISHED","2009-2011","WPR","PNG","FMLE","26.7","26.70000","","",""
"WHOSIS_000008","NLIS_310357","PUBLISHED","1982-1983","WPR","PNG","MLE","26.2","26.20000","","",""
"WHOSIS_000008","NLIS_312951","PUBLISHED","2003","WPR","VNM","MLE","25.1","25.10000","","",""
"WHOSIS_000008","NLIS_312951","PUBLISHED","2007","WPR","VNM","MLE","23.2","23.20000","","",""
"WHOSIS_000008","NLIS_312951","PUBLISHED","2005","WPR","VNM","BTSX","22.7","22.70000","","",""
"WHOSIS_000008","NLIS_311319","PUBLISHED","1993","WPR","MYS","BTSX","20.5","20.50000","","",""
"WHOSIS_000008","NLIS_313143","PUBLISHED","2011","WPR","PHL","MLE","20.1","20.10000","","",""
"WHOSIS_000008","NLIS_310320","PUBLISHED","1970","WPR","SLB","MLE","19.5","19.50000","","",""
"WHOSIS_000008","NLIS_313169","PUBLISHED","2009-2010","WPR","VNM","BTSX","17.5","17.50000","","",""
"WHOSIS_000008","NLIS_311473","PUBLISHED","1992","WPR","CHN","FMLE","14.6","14.60000","","",""
"WHOSIS_000008","NLIS_313083","PUBLISHED","2006","WPR","MYS","BTSX","12.9","12.90000","","",""
"WHOSIS_000008","NLIS_313181","PUBLISHED","2009","WPR","KIR","FMLE","12.4","12.40000","","",""
"WHOSIS_000008","NLIS_313004","PUBLISHED","1995","WPR","CHN","MLE","11.6","11.60000","","",""
"WHOSIS_000008","NLIS_313245","PUBLISHED","2009","WPR","BRN","MLE","10.8","10.80000","","",""
"WHOSIS_000008","NLIS_313245","PUBLISHED","2009","WPR","BRN","BTSX","9.6","9.60000","","",""
"WHOSIS_000008","NLIS_313005","PUBLISHED","1998","WPR","CHN","MLE","7.2","7.20000","","",""
"WHOSIS_000008","NLIS_312755","PUBLISHED","2004","WPR","MNG","BTSX","4.8","4.80000","","",""
"WHOSIS_000008","NLIS_313195","PUBLISHED","2010","WPR","MNG","FMLE","4.0","4.00000","","",""
"WHOSIS_000008","NLIS_312646","PUBLISHED","2007","WPR","AUS","BTSX","0.2","0.20000","","",""
"WHOSIS_000008","NLIS_310302","PUBLISHED","1982-1983","SEAR","BGD","BTSX","63.8","63.80000","","",""
"WHOSIS_000008","NLIS_310370","PUBLISHED","1989-1990","SEAR","BGD","BTSX","61.5","61.50000","","",""
"WHOSIS_000008","NLIS_310282","PUBLISHED","1975","SEAR","NPL","BTSX","60.8","60.80000","","",""
"WHOSIS_000008","NLIS_312104","PUBLISHED","1999","SEAR","BGD","FMLE","50.5","50.50000","","",""
"WHOSIS_000008","NLIS_313066","PUBLISHED","2009-2010","SEAR","TLS","MLE","46.8","46.80000","","",""
"WHOSIS_000008","NLIS_312180","PUBLISHED","1998-1999","SEAR","IND","MLE","45.0","45.00000","","",""
