"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","WQ1","79.0","79.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","WQ2","55.0","55.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","WQ3","48.0","48.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","WQ4","31.0","31.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","WQ5","33.0","33.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","49.0","49.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","URB","","40.0","40.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","RUR","","75.0","75.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","WQ1","86.0","86.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","WQ2","48.0","48.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","WQ3","40.0","40.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","WQ4","27.0","27.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1996","AMR","BRA","","WQ5","34.0","34.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","","","187.0","187.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","URB","","132.0","132.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","RUR","","197.0","197.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","","WQ1","179.0","179.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","","WQ2","160.0","160.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","","WQ3","148.0","148.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1993","AFR","BFA","","WQ4","136.0","136.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","219.0","219.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","URB","","82.0","82.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","RUR","","138.0","138.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","WQ1","142.0","142.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","WQ2","125.0","125.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","WQ3","104.0","104.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","WQ4","74.0","74.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","WQ5","60.0","60.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","176.4","176.40000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","URB","","138.1","138.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","RUR","","178.5","178.50000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","WQ1","226.4","226.40000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","WQ2","193.5","193.50000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","WQ3","123.9","123.90000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","WQ4","37.6","37.60000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","AFR","BDI","","WQ5","0.0","0.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","96.0","96.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","URB","","67.0","67.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","RUR","","99.0","99.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","WQ1","118.0","118.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","WQ2","99.0","99.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","WQ3","54.0","54.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","WQ4","43.0","43.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","WQ5","25.0","25.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","124.0","124.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","RUR","","128.0","128.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","RUR","","137.0","137.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","WQ1","132.0","132.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","WQ2","134.0","134.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","WQ3","78.0","78.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","WQ4","57.0","57.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","","WQ5","12.0","12.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","83.0","83.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","URB","","60.0","60.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","RUR","","87.0","87.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","WQ1","142.0","142.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","WQ2","111.0","111.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","WQ3","66.0","66.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","WQ4","39.0","39.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","WPR","KHM","","WQ5","9.0","9.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","54.0","54.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","URB","","21.0","21.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","RUR","","60.0","60.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","WQ1","66.0","66.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","WQ2","25.0","25.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","WQ3","23.0","23.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","WQ4","16.0","16.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2010","WPR","KHM","","WQ5","14.0","14.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","","125.0","125.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","URB","","107.0","107.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2000","WPR","KHM","URB","","102.0","102.00000","","",""
