"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_310_STD","FPARM2004","PUBLISHED","2004","EUR","ARM","RUR","0.88","0.88000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2004","PUBLISHED","2004","EUR","ARM","URB","0.95","0.95000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2005","PUBLISHED","2005","EUR","ARM","TOTL","0.50","0.50000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2005","PUBLISHED","2005","EUR","ARM","RUR","0.48","0.48000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2005","PUBLISHED","2005","EUR","ARM","URB","0.51","0.51000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2006","PUBLISHED","2006","EUR","ARM","TOTL","0.54","0.54000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2006","PUBLISHED","2006","EUR","ARM","RUR","0.46","0.46000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2006","PUBLISHED","2006","EUR","ARM","URB","0.58","0.58000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2007","PUBLISHED","2007","EUR","ARM","TOTL","0.21","0.21000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2007","PUBLISHED","2007","EUR","ARM","RUR","0.20","0.20000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2007","PUBLISHED","2007","EUR","ARM","URB","0.21","0.21000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2008","PUBLISHED","2008","EUR","ARM","TOTL","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2008","PUBLISHED","2008","EUR","ARM","RUR","0.10","0.10000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2008","PUBLISHED","2008","EUR","ARM","URB","0.12","0.12000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2009","PUBLISHED","2009","EUR","ARM","TOTL","0.18","0.18000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2009","PUBLISHED","2009","EUR","ARM","RUR","0.14","0.14000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2009","PUBLISHED","2009","EUR","ARM","URB","0.20","0.20000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2010","PUBLISHED","2010","EUR","ARM","TOTL","0.39","0.39000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2010","PUBLISHED","2010","EUR","ARM","RUR","0.26","0.26000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2010","PUBLISHED","2010","EUR","ARM","URB","0.47","0.47000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2011","PUBLISHED","2011","EUR","ARM","TOTL","0.69","0.69000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2011","PUBLISHED","2011","EUR","ARM","RUR","0.61","0.61000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2011","PUBLISHED","2011","EUR","ARM","URB","0.74","0.74000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2012","PUBLISHED","2012","EUR","ARM","TOTL","0.61","0.61000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2012","PUBLISHED","2012","EUR","ARM","RUR","0.69","0.69000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2012","PUBLISHED","2012","EUR","ARM","URB","0.47","0.47000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2013","PUBLISHED","2013","EUR","ARM","TOTL","0.65","0.65000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2013","PUBLISHED","2013","EUR","ARM","RUR","0.49","0.49000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPARM2013","PUBLISHED","2013","EUR","ARM","URB","0.74","0.74000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAUS2010","PUBLISHED","2010","WPR","AUS","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAUT1999","PUBLISHED","1999","EUR","AUT","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2002","PUBLISHED","2002","EUR","AZE","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2002","PUBLISHED","2002","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2002","PUBLISHED","2002","EUR","AZE","URB","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2003","PUBLISHED","2003","EUR","AZE","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2003","PUBLISHED","2003","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2003","PUBLISHED","2003","EUR","AZE","URB","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2004","PUBLISHED","2004","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2004","PUBLISHED","2004","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2004","PUBLISHED","2004","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2005","PUBLISHED","2005","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2005","PUBLISHED","2005","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAZE2005","PUBLISHED","2005","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI1986","PUBLISHED","1986","AFR","BDI","TOTL","0.42","0.42000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI1998","PUBLISHED","1998","AFR","BDI","TOTL","0.60","0.60000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI1998","PUBLISHED","1998","AFR","BDI","RUR","0.58","0.58000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI1998","PUBLISHED","1998","AFR","BDI","URB","0.87","0.87000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI2013","PUBLISHED","2013","AFR","BDI","TOTL","0.78","0.78000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI2013","PUBLISHED","2013","AFR","BDI","RUR","0.76","0.76000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBDI2013","PUBLISHED","2013","AFR","BDI","URB","0.92","0.92000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEL1997","PUBLISHED","1997","EUR","BEL","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEL2010","PUBLISHED","2010","EUR","BEL","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEL2010","PUBLISHED","2010","EUR","BEL","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEL2010","PUBLISHED","2010","EUR","BEL","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2003","PUBLISHED","2003","AFR","BEN","TOTL","1.98","1.98000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2003","PUBLISHED","2003","AFR","BEN","RUR","2.14","2.14000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2003","PUBLISHED","2003","AFR","BEN","URB","1.69","1.69000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2011","PUBLISHED","2011","AFR","BEN","TOTL","2.24","2.24000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2011","PUBLISHED","2011","AFR","BEN","RUR","2.50","2.50000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBEN2011","PUBLISHED","2011","AFR","BEN","URB","1.89","1.89000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA1998","PUBLISHED","1998","AFR","BFA","TOTL","1.39","1.39000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA1998","PUBLISHED","1998","AFR","BFA","RUR","1.25","1.25000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA1998","PUBLISHED","1998","AFR","BFA","URB","2.11","2.11000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2003","PUBLISHED","2003","AFR","BFA","TOTL","1.25","1.25000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2003","PUBLISHED","2003","AFR","BFA","RUR","1.13","1.13000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2003","PUBLISHED","2003","AFR","BFA","URB","1.78","1.78000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2009","PUBLISHED","2009","AFR","BFA","TOTL","0.87","0.87000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2009","PUBLISHED","2009","AFR","BFA","RUR","0.80","0.80000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2009","PUBLISHED","2009","AFR","BFA","URB","1.10","1.10000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2014","PUBLISHED","2014","AFR","BFA","TOTL","1.22","1.22000","","",""
