"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PRICEMEASURETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001730","PUBLISHED","2016","AFR","CAF","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","COG","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","COG","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","COG","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","DZA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","DZA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","BEN","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","BWA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","BDI","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","BDI","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","CAF","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","COD","SA_ADDITIONAL_LEVY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","GNQ","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","ETH","SA_ADDITIONAL_LEVY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","GAB","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","ATG","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","BRA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","BRA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","ATG","SA_ADDITIONAL_LEVY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","BRB","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AMR","BRB","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","GHA","SA_ADDITIONAL_LEVY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","GIN","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","KEN","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","KEN","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MDG","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MDG","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MRT","SA_MINIMUM_PRICE_POLICY","Total ban","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MRT","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","Total ban","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MOZ","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730","PUBLISHED","2016","AFR","MOZ","SA_VOLUME_DISCOUNTS_BAN","Yes","","","",""
