"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","2015","","","WB_MI","","23.6 [21.0-26.2]","23.60000","21.00000","26.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_HI","","2.8 [2.1-3.8]","2.80000","2.10000","3.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_LMI","","30.1 [26.4-34.0]","30.10000","26.40000","34.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_LI","","34.1 [31.6-36.7]","34.10000","31.60000","36.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_MI","","21.1 [18.6-23.7]","21.10000","18.60000","23.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_UMI","","6.0 [4.0-8.8]","6.00000","4.00000","8.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","","","WB_LIMI","","23.6 [21.5-25.7]","23.60000","21.50000","25.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_HI","","2.8 [2.0-3.7]","2.80000","2.00000","3.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_LMI","","29.3 [25.7-33.2]","29.30000","25.70000","33.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_LI","","33.5 [30.9-36.1]","33.50000","30.90000","36.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_MI","","20.6 [18.1-23.1]","20.60000","18.10000","23.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_UMI","","5.6 [3.7-8.5]","5.60000","3.70000","8.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","","","WB_LIMI","","23.1 [21.0-25.2]","23.10000","21.00000","25.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_UMI","","4.1 [2.4-6.8]","4.10000","2.40000","6.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_LIMI","","20.8 [18.7-22.8]","20.80000","18.70000","22.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_LMI","","25.8 [22.4-29.6]","25.80000","22.40000","29.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_LI","","30.3 [27.4-33.4]","30.30000","27.40000","33.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_HI","","2.6 [1.9-3.6]","2.60000","1.90000","3.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","","","WB_MI","","18.2 [15.7-20.7]","18.20000","15.70000","20.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_MI","","16.0 [13.5-18.5]","16.00000","13.50000","18.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_LI","","27.3 [24.1-30.9]","27.30000","24.10000","30.90000",""
