"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"CM_03","PUBLISHED","1988","EMR","","","AFG","BTSX","47233","47233.00000","41826.00000","53490.00000",""
"CM_03","PUBLISHED","1989","EMR","","","AFG","BTSX","47538","47538.00000","42240.00000","53530.00000",""
"CM_03","PUBLISHED","1990","EMR","","","AFG","BTSX","48398","48398.00000","43221.00000","54133.00000",""
"CM_03","PUBLISHED","1991","EMR","","","AFG","BTSX","49732","49732.00000","44511.00000","55365.00000",""
"CM_03","PUBLISHED","1992","EMR","","","AFG","BTSX","51339","51339.00000","46060.00000","57010.00000",""
"CM_03","PUBLISHED","1993","EMR","","","AFG","BTSX","53063","53063.00000","47767.00000","58880.00000",""
"CM_03","PUBLISHED","1994","EMR","","","AFG","BTSX","54853","54853.00000","49427.00000","60803.00000",""
"CM_03","PUBLISHED","1995","EMR","","","AFG","BTSX","56606","56606.00000","51071.00000","62547.00000",""
"CM_03","PUBLISHED","1996","EMR","","","AFG","BTSX","58172","58172.00000","52624.00000","64185.00000",""
"CM_03","PUBLISHED","1997","EMR","","","AFG","BTSX","59529","59529.00000","53991.00000","65611.00000",""
"CM_03","PUBLISHED","1998","EMR","","","AFG","BTSX","60643","60643.00000","55077.00000","66808.00000",""
"CM_03","PUBLISHED","1999","EMR","","","AFG","BTSX","61486","61486.00000","55875.00000","67726.00000",""
"CM_03","PUBLISHED","2000","EMR","","","AFG","BTSX","62013","62013.00000","56556.00000","68197.00000",""
"CM_03","PUBLISHED","2001","EMR","","","AFG","BTSX","62301","62301.00000","56831.00000","68533.00000",""
"CM_03","PUBLISHED","2002","EMR","","","AFG","BTSX","62343","62343.00000","56921.00000","68572.00000",""
"CM_03","PUBLISHED","2003","EMR","","","AFG","BTSX","62210","62210.00000","56849.00000","68406.00000",""
"CM_03","PUBLISHED","2004","EMR","","","AFG","BTSX","61887","61887.00000","56560.00000","67997.00000",""
"CM_03","PUBLISHED","2005","EMR","","","AFG","BTSX","61321","61321.00000","56064.00000","67345.00000",""
"CM_03","PUBLISHED","2015","EMR","","","AFG","BTSX","47981","47981.00000","40917.00000","55923.00000",""
"CM_03","PUBLISHED","2001","AFR","","","AGO","BTSX","40193","40193.00000","33211.00000","48446.00000",""
"CM_03","PUBLISHED","2002","AFR","","","AGO","BTSX","40399","40399.00000","33326.00000","48764.00000",""
"CM_03","PUBLISHED","2003","AFR","","","AGO","BTSX","40568","40568.00000","32993.00000","49199.00000",""
"CM_03","PUBLISHED","2004","AFR","","","AGO","BTSX","40565","40565.00000","32733.00000","49482.00000",""
"CM_03","PUBLISHED","2005","AFR","","","AGO","BTSX","40414","40414.00000","32185.00000","49787.00000",""
"CM_03","PUBLISHED","2006","AFR","","","AGO","BTSX","40110","40110.00000","31294.00000","50440.00000",""
"CM_03","PUBLISHED","2007","AFR","","","AGO","BTSX","39809","39809.00000","30454.00000","51111.00000",""
"CM_03","PUBLISHED","2008","AFR","","","AGO","BTSX","39490","39490.00000","29296.00000","52374.00000",""
