"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","AZE","","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","JOR","","0.5 [0.5-0.5]","0.50000","0.50000","0.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","LSO","","2.8 [2.6-3.0]","2.80000","2.60000","3.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","NGA","","9.1 [8.5-9.7]","9.10000","8.50000","9.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","PAK","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","BWA","","5.4 [5.1-5.7]","5.40000","5.10000","5.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","BGR","","10.3 [9.7-10.9]","10.30000","9.70000","10.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","FJI","","2.0 [1.9-2.1]","2.00000","1.90000","2.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","GRD","","11.9 [11.2-12.6]","11.90000","11.20000","12.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","SUR","","5.6 [5.3-5.9]","5.60000","5.30000","5.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","TUR","","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","ATG","","4.9 [4.6-5.2]","4.90000","4.60000","5.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","AUT","","9.7 [9.1-10.3]","9.70000","9.10000","10.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","JPN","","7.0 [6.6-7.4]","7.00000","6.60000","7.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","LUX","","11.4 [10.7-12.1]","11.40000","10.70000","12.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","KOR","","9.8 [9.2-10.4]","9.80000","9.20000","10.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","BGD","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GIN","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","HTI","","5.9 [5.5-6.3]","5.90000","5.50000","6.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","SLE","","6.7 [6.3-7.1]","6.70000","6.30000","7.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","TJK","","0.3 [0.3-0.3]","0.30000","0.30000","0.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","BOL","","3.8 [3.6-4.0]","3.80000","3.60000","4.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","CMR","","5.8 [5.4-6.2]","5.80000","5.40000","6.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","IDN","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","IRQ","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","PNG","","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","PHL","","4.6 [4.3-4.9]","4.60000","4.30000","4.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","WSM","","2.6 [2.4-2.8]","2.60000","2.40000","2.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","VUT","","0.9 [0.8-1.0]","0.90000","0.80000","1.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","ARG","","8.3 [7.8-8.8]","8.30000","7.80000","8.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","JAM","","3.4 [3.2-3.6]","3.40000","3.20000","3.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","LVA","","10.5 [9.8-11.2]","10.50000","9.80000","11.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","LCA","","10.1 [9.5-10.7]","10.10000","9.50000","10.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","SRB","","9.6 [9-10.2]","9.60000","9.00000","10.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","BRB","","6.3 [5.9-6.7]","6.30000","5.90000","6.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","BRN","","0.6 [0.6-0.6]","0.60000","0.60000","0.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","IRL","","11.4 [10.7-12.1]","11.40000","10.70000","12.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ITA","","6.5 [6.1-6.9]","6.50000","6.10000","6.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","SGP","","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","SVN","","10.6 [9.9-11.3]","10.60000","9.90000","11.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","COD","","2.3 [2.2-2.4]","2.30000","2.20000","2.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","DMA","","6.6 [6.2-7.0]","6.60000","6.20000","7.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","KGZ","","2.4 [2.3-2.5]","2.40000","2.30000","2.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","LBR","","3.1 [2.9-3.3]","3.10000","2.90000","3.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","NPL","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","RWA","","6.8 [6.4-7.2]","6.80000","6.40000","7.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","CPV","","4.0 [3.8-4.2]","4.00000","3.80000","4.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","COG","","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","GTM","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","HND","","3.0 [2.8-3.2]","3.00000","2.80000","3.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","SLB","","1.2 [1.1-1.3]","1.20000","1.10000","1.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","SDN","","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","TON","","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","TKM","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","LBY","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","MYS","","0.3 [0.3-0.3]","0.30000","0.30000","0.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","POL","","10.9 [10.2-11.6]","10.90000","10.20000","11.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","RUS","","11.5 [10.8-12.2]","11.50000","10.80000","12.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","CAN","","8.2 [7.7-8.7]","8.20000","7.70000","8.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","CYP","","8.2 [7.7-8.7]","8.20000","7.70000","8.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","DEU","","11.3 [10.6-12.0]","11.30000","10.60000","12.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","HUN","","11.3 [10.6-12.0]","11.30000","10.60000","12.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","SWE","","7.2 [6.8-7.6]","7.20000","6.80000","7.60000",""
