"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","","4.2","4.20000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","URB","","7.9","7.90000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","RUR","","1.2","1.20000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","FMLE","","","13.2","13.20000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","FMLE","","","3.8","3.80000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","FMLE","","","10.4","10.40000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ1","3.4","3.40000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ2","5.7","5.70000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ3","5.3","5.30000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ4","7.7","7.70000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ5","14.7","14.70000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","","","1.7","1.70000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","URB","","2.5","2.50000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","RUR","","0.2","0.20000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","FMLE","","","0.0","0.00000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL06TO11YR","FMLE","","","1.7","1.70000","","",""
"EQ_TOBACCO","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL12PLUSYR","FMLE","","","4.5","4.50000","","",""
