"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GROUP","Display Value","Numeric","Low","High","Comments"
"RSUD_87","PUBLISHED","2008","WPR","CHN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","WPR","CHN","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","COL","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","COL","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","COL","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","COL","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COM","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COM","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COM","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COM","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COG","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COG","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COG","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COG","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","CRI","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","CRI","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","CRI","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HRV","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HRV","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HRV","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HRV","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","CYP","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","CYP","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","CYP","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","CYP","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COD","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COD","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COD","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","COD","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DNK","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DNK","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","DOM","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","DOM","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","DOM","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","DOM","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","ECU","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","ECU","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","EGY","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","EGY","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","EGY","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","EGY","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","SLV","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","SLV","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","SLV","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","SLV","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GNQ","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GNQ","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GNQ","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GNQ","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ERI","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ERI","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ERI","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ERI","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","EST","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","EST","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","EST","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","EST","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ETH","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ETH","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ETH","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","ETH","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","FJI","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","WPR","FJI","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","FJI","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","FJI","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FIN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FIN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FIN","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FIN","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FRA","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FRA","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FRA","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","FRA","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GAB","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GAB","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GAB","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GAB","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GMB","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GMB","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GMB","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GMB","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GEO","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GEO","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GEO","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GEO","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DEU","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DEU","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DEU","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","DEU","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GHA","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GHA","NARCOTICS_ANONYMOUS","yes","","","",""
