"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_6","PUBLISHED","2012","EUR","CZE","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GAB","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","GRC","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","KHM","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","LKA","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","MMR","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","MNG","","ENVCAUSE000","24","0.24000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","NIC","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","PRK","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","PRY","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","TUR","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","CAN","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","CHL","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","MAR","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","MHL","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","MLT","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MWI","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","PLW","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","SLB","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","SOM","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","THA","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","TKM","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","TZA","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","VNM","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","SAU","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","SDN","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","SEN","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","SGP","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","SSD","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","SYC","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","TCD","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","UZB","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","SMR","","ENVCAUSE000","9","0.09000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","SVK","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","SWE","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","SWZ","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","TJK","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","TLS","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","UKR","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","AND","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","BEL","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","CPV","","ENVCAUSE000","18","0.18000","","",""
