"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PRICEMEASURETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_MINIMUM_PRICE_POLICY","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","COG","SA_MINIMUM_PRICE_POLICY","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","COG","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","COG","SA_BELOW_COST_SELLING_BAN","No","","","",""
