"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","Display Value","Numeric","Low","High","Comments"
"MALARIA_15029","PUBLISHED","2001","EMR","AFG","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","DZA","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","AGO","","1971655","1971655.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","AGO","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","ARG","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","EUR","ARM","","0","0.00000","","",""
"MALARIA_15029","PUBLISHED","2001","EUR","ARM","AGE0-4","0","0.00000","","",""
"MALARIA_15029","PUBLISHED","2001","EUR","AZE","","29590469","29590469.00000","","",""
"MALARIA_15029","PUBLISHED","2001","SEAR","BGD","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","BLZ","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BEN","","2247567","2247567.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BEN","AGE0-4","862759","862759.00000","","",""
"MALARIA_15029","PUBLISHED","2001","SEAR","BTN","","1115408","1115408.00000","","",""
"MALARIA_15029","PUBLISHED","2001","SEAR","BTN","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","BOL","AGE0-4","992055","992055.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","BOL","","2416281","2416281.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BWA","","1489765","1489765.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BWA","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","BRA","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BFA","","2604791","2604791.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BFA","AGE0-4","1071939","1071939.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BDI","","6256742","6256742.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","BDI","AGE0-4","1422227","1422227.00000","","",""
"MALARIA_15029","PUBLISHED","2001","WPR","KHM","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CMR","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CPV","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CAF","","415222","415222.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CAF","AGE0-4","180127","180127.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","TCD","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","TCD","","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","WPR","CHN","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","COL","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","COM","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","COG","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","CRI","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CIV","","1969077","1969077.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","CIV","AGE0-4","397679","397679.00000","","",""
"MALARIA_15029","PUBLISHED","2001","SEAR","PRK","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","COD","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","EMR","DJI","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","DOM","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","ECU","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","EMR","EGY","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","SLV","AGE0-4","23","23.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AMR","SLV","","362","362.00000","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","GNQ","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2001","AFR","ERI","","1619610","1619610.00000","","",""
"MALARIA_15029","PUBLISHED","2002","EMR","AFG","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","AFR","DZA","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","AFR","AGO","","2919857","2919857.00000","","",""
"MALARIA_15029","PUBLISHED","2002","AFR","AGO","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","AMR","ARG","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","EUR","ARM","","0","0.00000","","",""
"MALARIA_15029","PUBLISHED","2002","EUR","ARM","AGE0-4","0","0.00000","","",""
"MALARIA_15029","PUBLISHED","2002","EUR","AZE","","29499388","29499388.00000","","",""
"MALARIA_15029","PUBLISHED","2002","SEAR","BGD","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","AMR","BLZ","AGE0-4","*Filler*","","","",""
"MALARIA_15029","PUBLISHED","2002","AFR","BEN","","2297236","2297236.00000","","",""
"MALARIA_15029","PUBLISHED","2002","AFR","BEN","AGE0-4","873277","873277.00000","","",""
