"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","ALBRHS200201","","No data","","","","Not available."
"bmi30wm","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","ALBRHS200202","","No data","","","","Not available."
"bmi30wm","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","ALBRHS200203","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200501","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200502","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200503","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200504","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200801","","11.8 [10.1-13.9]","12.00000","10.00000","14.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200802","","10.8 [9.2-12.6]","11.00000","9.00000","13.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200803","","6.5 [5.3-8.0]","7.00000","5.00000","8.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200804","","5.2 [4.1-6.5]","5.00000","4.00000","6.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201701","","20.3 [17.3-23.7]","20.00000","17.00000","24.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201702","","13.9 [11.6-16.5]","14.00000","12.00000","17.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201703","","19.5 [16.5-22.9]","19.00000","16.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201704","","20.5 [18.0-23.2]","20.00000","18.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201705","","20.3 [17.7-23.2]","20.00000","18.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201706","","14.8 [11.6-18.7]","15.00000","12.00000","19.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201707","","15.5 [13.0-18.4]","16.00000","13.00000","18.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201708","","12.2 [8.5-17.2]","12.00000","8.00000","17.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201709","","13.2 [9.8-17.4]","13.00000","10.00000","17.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201710","","12.5 [9.4-16.5]","13.00000","9.00000","16.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201711","","15.3 [12.9-18.0]","15.00000","13.00000","18.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201712","","16.0 [12.9-19.6]","16.00000","13.00000","20.00000",""
"bmi30wm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200001","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200002","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200003","","No data","","","","Not available."
