"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_190","FPARM2007","PUBLISHED","2007","EUR","ARM","URB","0.09","0.09000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2007","PUBLISHED","2007","EUR","ARM","RUR","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2008","PUBLISHED","2008","EUR","ARM","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2008","PUBLISHED","2008","EUR","ARM","URB","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2008","PUBLISHED","2008","EUR","ARM","RUR","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2009","PUBLISHED","2009","EUR","ARM","TOTL","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2009","PUBLISHED","2009","EUR","ARM","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2009","PUBLISHED","2009","EUR","ARM","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2010","PUBLISHED","2010","EUR","ARM","TOTL","0.16","0.16000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2010","PUBLISHED","2010","EUR","ARM","URB","0.22","0.22000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2010","PUBLISHED","2010","EUR","ARM","RUR","0.05","0.05000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2011","PUBLISHED","2011","EUR","ARM","TOTL","0.20","0.20000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2011","PUBLISHED","2011","EUR","ARM","URB","0.19","0.19000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2011","PUBLISHED","2011","EUR","ARM","RUR","0.21","0.21000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2012","PUBLISHED","2012","EUR","ARM","TOTL","0.12","0.12000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2012","PUBLISHED","2012","EUR","ARM","URB","0.07","0.07000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2012","PUBLISHED","2012","EUR","ARM","RUR","0.15","0.15000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2013","PUBLISHED","2013","EUR","ARM","TOTL","0.18","0.18000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2013","PUBLISHED","2013","EUR","ARM","URB","0.19","0.19000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2013","PUBLISHED","2013","EUR","ARM","RUR","0.17","0.17000","","",""
"FINPROTECTION_IMP_PG_190","FPAUS2010","PUBLISHED","2010","WPR","AUS","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAUT1999","PUBLISHED","1999","EUR","AUT","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2002","PUBLISHED","2002","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2002","PUBLISHED","2002","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2002","PUBLISHED","2002","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2003","PUBLISHED","2003","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2003","PUBLISHED","2003","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2003","PUBLISHED","2003","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2004","PUBLISHED","2004","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2004","PUBLISHED","2004","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2004","PUBLISHED","2004","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2005","PUBLISHED","2005","EUR","AZE","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2005","PUBLISHED","2005","EUR","AZE","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPAZE2005","PUBLISHED","2005","EUR","AZE","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI1986","PUBLISHED","1986","AFR","BDI","TOTL","0.39","0.39000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI1998","PUBLISHED","1998","AFR","BDI","TOTL","1.48","1.48000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI1998","PUBLISHED","1998","AFR","BDI","URB","1.15","1.15000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI1998","PUBLISHED","1998","AFR","BDI","RUR","1.49","1.49000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI2013","PUBLISHED","2013","AFR","BDI","TOTL","1.72","1.72000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI2013","PUBLISHED","2013","AFR","BDI","URB","1.31","1.31000","","",""
"FINPROTECTION_IMP_PG_190","FPBDI2013","PUBLISHED","2013","AFR","BDI","RUR","1.76","1.76000","","",""
"FINPROTECTION_IMP_PG_190","FPBEL1997","PUBLISHED","1997","EUR","BEL","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBEL2010","PUBLISHED","2010","EUR","BEL","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBEL2010","PUBLISHED","2010","EUR","BEL","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBEL2010","PUBLISHED","2010","EUR","BEL","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2003","PUBLISHED","2003","AFR","BEN","TOTL","2.96","2.96000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2003","PUBLISHED","2003","AFR","BEN","URB","2.11","2.11000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2003","PUBLISHED","2003","AFR","BEN","RUR","3.44","3.44000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2011","PUBLISHED","2011","AFR","BEN","TOTL","5.82","5.82000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2011","PUBLISHED","2011","AFR","BEN","URB","4.38","4.38000","","",""
"FINPROTECTION_IMP_PG_190","FPBEN2011","PUBLISHED","2011","AFR","BEN","RUR","6.85","6.85000","","",""
