"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2008","EUR","SVN","SA_BEER","34.5","34.50000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","SVN","SA_SPIRITS","1200","1200.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ESP","SA_BEER","10","10.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","ESP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","SWE","SA_BEER","78.2","78.20000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","SWE","SA_WINE","254.69","254.69000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","CYP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","EST","SA_SPIRITS","1418.8","1418.80000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","DEU","SA_BEER","3.66","3.66000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","GRC","SA_SPIRITS","2450","2450.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","IRL","SA_WINE","454.23","454.23000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","LTU","SA_SPIRITS","1278.96","1278.96000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","LUX","SA_SPIRITS","1041.15","1041.15000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","NLD","SA_SPIRITS","1504","1504.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","PRT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","ESP","SA_SPIRITS","830.3","830.30000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","GBR","SA_SPIRITS","2803.4","2803.40000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","GBR","SA_SPIRITS","3535.01","3535.01000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","AUT","SA_SPIRITS","1000","1000.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","BEL","SA_SPIRITS","1962","1962.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","HRV","SA_BEER","562","562.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","HRV","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","CZE","SA_SPIRITS","1036.29","1036.29000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","HUN","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","IRL","SA_BEER","22.55","22.55000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","LVA","SA_SPIRITS","1350.19","1350.19000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","LUX","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","NLD","SA_SPIRITS","1686","1686.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","PRT","SA_BEER","19.03","19.03000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","ROU","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","SVN","SA_SPIRITS","1320","1320.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","TUR","SA_WINE","888","888.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","TUR","SA_WINE","1065","1065.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","AUT","SA_BEER","24","24.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","AUT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","BEL","SA_BEER","20.5","20.50000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","BEL","SA_WINE","52.75","52.75000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","BGR","SA_SPIRITS","562.43","562.43000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","HRV","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","CYP","SA_SPIRITS","598.01","598.01000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","CYP","SA_BEER","22.94","22.94000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","DNK","SA_BEER","34.1","34.10000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","DNK","SA_WINE","166.88","166.88000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","EST","SA_BEER","26","26.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","EST","SA_WINE","80.64","80.64000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","FIN","SA_SPIRITS","3940","3940.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","FRA","SA_WINE","0.5","0.50000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","DEU","SA_SPIRITS","1303","1303.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","GRC","SA_BEER","16.3","16.30000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","GRC","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","GRC","SA_SPIRITS","2550","2550.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","HUN","SA_BEER","28.1","28.10000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","HUN","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","IRL","SA_SPIRITS","3925","3925.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","IRL","SA_BEER","75.41","75.41000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","IRL","SA_WINE","454.23","454.23000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ITA","SA_SPIRITS","800.01","800.01000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","ITA","SA_BEER","28.2","28.20000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","LVA","SA_WINE","56.4","56.40000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","LVA","SA_SPIRITS","1325.44","1325.44000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","LTU","SA_BEER","11.2","11.20000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","LUX","SA_BEER","9.5","9.50000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","LUX","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","MLT","SA_BEER","9","9.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","MLT","SA_WINE","0","0.00000","","",""
