"GHO","PUBLISHSTATE","YEAR","REGION","AMRGLASSCATEGORY","Display Value","Numeric","Low","High","Comments"
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ASTSTANDARDS01","3","2.85714","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ISITESTABLISHED05","94","94.28571","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ASTSTANDARDS03","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AMR","AMRGLASS_ASTSTANDARDS01","6","5.71429","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ISITESTABLISHED05","60","59.57447","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ISITESTABLISHED04","11","10.63830","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ASTSTANDARDS03","4","4.25532","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ASTSTANDARDS02","2","2.12766","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AFR","AMRGLASS_ASTSTANDARDS01","23","23.40426","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ISITESTABLISHED05","70","70.21277","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ASTSTANDARDS03","2","2.12766","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ASTSTANDARDS02","6","6.38298","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AFR","AMRGLASS_ASTSTANDARDS01","21","21.27660","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ISITESTABLISHED05","79","78.72340","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ISITESTABLISHED04","2","2.12766","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ASTSTANDARDS03","2","2.12766","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ASTSTANDARDS02","4","4.25532","","",""
"AMRGLASS_QA05","PUBLISHED","2017","AFR","AMRGLASS_ASTSTANDARDS01","13","12.76596","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ASTSTANDARDS03","5","4.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ISITESTABLISHED04","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ISITESTABLISHED05","23","22.72727","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ASTSTANDARDS01","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ASTSTANDARDS02","17","16.66667","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ASTSTANDARDS03","15","14.81481","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EUR","AMRGLASS_ISITESTABLISHED05","69","68.51852","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ASTSTANDARDS01","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ASTSTANDARDS02","30","29.62963","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ASTSTANDARDS03","11","11.11111","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EUR","AMRGLASS_ISITESTABLISHED05","59","59.25926","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ASTSTANDARDS01","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ASTSTANDARDS02","37","37.03704","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ASTSTANDARDS03","9","9.25926","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EUR","AMRGLASS_ISITESTABLISHED05","54","53.70370","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ASTSTANDARDS01","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ASTSTANDARDS03","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","SEAR","AMRGLASS_ISITESTABLISHED05","91","90.90909","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ASTSTANDARDS01","73","72.72727","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ASTSTANDARDS03","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ASTSTANDARDS03","6","5.71429","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","AMR","AMRGLASS_ISITESTABLISHED05","91","91.42857","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ASTSTANDARDS01","6","5.71429","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ASTSTANDARDS03","6","5.71429","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","AMR","AMRGLASS_ISITESTABLISHED05","89","88.57143","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ASTSTANDARDS01","27","27.27273","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ASTSTANDARDS03","14","13.63636","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ISITESTABLISHED04","5","4.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2017","EMR","AMRGLASS_ISITESTABLISHED05","55","54.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ASTSTANDARDS01","45","45.45455","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ASTSTANDARDS02","5","4.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ASTSTANDARDS03","5","4.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ISITESTABLISHED04","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2018","EMR","AMRGLASS_ISITESTABLISHED05","36","36.36364","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ASTSTANDARDS01","59","59.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2019","EMR","AMRGLASS_ASTSTANDARDS02","5","4.54545","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ISITESTABLISHED04","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2018","SEAR","AMRGLASS_ISITESTABLISHED05","18","18.18182","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ASTSTANDARDS01","82","81.81818","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ASTSTANDARDS03","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ASTSTANDARDS05","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","SEAR","AMRGLASS_ISITESTABLISHED05","9","9.09091","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ASTSTANDARDS01","11","11.11111","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ASTSTANDARDS03","4","3.70370","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2017","WPR","AMRGLASS_ISITESTABLISHED05","85","85.18519","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ASTSTANDARDS01","11","11.11111","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ASTSTANDARDS03","11","11.11111","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2018","WPR","AMRGLASS_ISITESTABLISHED05","78","77.77778","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ASTSTANDARDS01","11","11.11111","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ASTSTANDARDS02","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ASTSTANDARDS03","15","14.81481","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ASTSTANDARDS05","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ISITESTABLISHED04","0","0.00000","","",""
"AMRGLASS_QA05","PUBLISHED","2019","WPR","AMRGLASS_ISITESTABLISHED05","74","74.07407","","",""
