"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000007","PUBLISHED","1971","EMR","","","AFG","BTSX","294.8","294.75546","260.86470","336.43932",""
"MDG_0000000007","PUBLISHED","1974","EMR","","","AFG","BTSX","277.8","277.81147","246.68588","316.98237",""
"MDG_0000000007","PUBLISHED","1988","EMR","","","AFG","BTSX","190.1","190.05348","173.50071","209.86042",""
"MDG_0000000007","PUBLISHED","1989","EMR","","","AFG","BTSX","183.8","183.79071","167.90849","201.96924",""
"MDG_0000000007","PUBLISHED","2006","EMR","","","AFG","BTSX","103.7","103.67886","96.31373","112.07156",""
"MDG_0000000007","PUBLISHED","1965","EMR","","","AFG","FMLE","319.3","319.28173","280.62194","364.44962",""
"MDG_0000000007","PUBLISHED","1979","EMR","","","AFG","FMLE","241.7","241.72019","215.09993","274.47112",""
"MDG_0000000007","PUBLISHED","1982","EMR","","","AFG","FMLE","223.2","223.16335","199.67162","252.92498",""
"MDG_0000000007","PUBLISHED","1996","EMR","","","AFG","FMLE","141","140.96810","130.05342","152.60358",""
"MDG_0000000007","PUBLISHED","1999","EMR","","","AFG","FMLE","128.3","128.27457","118.80875","138.52328",""
"MDG_0000000007","PUBLISHED","2013","EMR","","","AFG","FMLE","73","73.02719","64.91184","81.99746",""
"MDG_0000000007","PUBLISHED","2014","EMR","","","AFG","FMLE","69.8","69.78073","61.02674","79.07825",""
"MDG_0000000007","PUBLISHED","2016","EMR","","","AFG","FMLE","63.9","63.86568","53.75534","74.39355",""
"MDG_0000000007","PUBLISHED","1973","EMR","","","AFG","MLE","290.4","290.36584","257.08327","331.87975",""
"MDG_0000000007","PUBLISHED","1990","EMR","","","AFG","MLE","182","182.03155","166.55386","199.34359",""
"MDG_0000000007","PUBLISHED","2007","EMR","","","AFG","MLE","103.4","103.37599","95.77972","112.06592",""
"MDG_0000000007","PUBLISHED","1984","AFR","","","AGO","BTSX","227.1","227.05805","190.78652","270.08774",""
"MDG_0000000007","PUBLISHED","1998","AFR","","","AGO","BTSX","213.5","213.51173","187.90341","242.08069",""
"MDG_0000000007","PUBLISHED","1999","AFR","","","AGO","BTSX","209.2","209.17310","183.84151","238.17482",""
"MDG_0000000007","PUBLISHED","2001","AFR","","","AGO","BTSX","197.8","197.78214","172.65123","228.21605",""
"MDG_0000000007","PUBLISHED","2016","AFR","","","AGO","BTSX","84.2","84.21189","42.56158","146.44819",""
"MDG_0000000007","PUBLISHED","1993","AFR","","","AGO","FMLE","210.4","210.35972","186.73413","237.32968",""
"MDG_0000000007","PUBLISHED","2010","AFR","","","AGO","FMLE","112.1","112.09241","77.81522","155.62065",""
"MDG_0000000007","PUBLISHED","1987","AFR","","","AGO","MLE","234.5","234.51589","203.85131","269.02614",""
"MDG_0000000007","PUBLISHED","2002","AFR","","","AGO","MLE","201.3","201.32727","174.59631","233.79838",""
"MDG_0000000007","PUBLISHED","2004","AFR","","","AGO","MLE","184.6","184.64415","156.76332","216.63882",""
"MDG_0000000007","PUBLISHED","1980","EUR","","","ALB","BTSX","81.6","81.60500","59.89568","108.63803",""
"MDG_0000000007","PUBLISHED","1994","EUR","","","ALB","BTSX","35.2","35.17956","31.41073","39.35430",""
"MDG_0000000007","PUBLISHED","2011","EUR","","","ALB","BTSX","12.1","12.13884","11.74524","12.55023",""
"MDG_0000000007","PUBLISHED","1986","EUR","","","ALB","FMLE","46.9","46.93845","40.60623","54.13628",""
"MDG_0000000007","PUBLISHED","2001","EUR","","","ALB","FMLE","22.8","22.80763","20.90200","24.91269",""
