"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"sba5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201510","","46.9 [37.2-56.8]","47.00000","37.00000","57.00000",""
"sba5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201511","","72.3 [66.5-77.5]","72.00000","67.00000","77.00000",""
"sba5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201526","","30.5 [16.9-48.7]","31.00000","17.00000","49.00000",""
"sba5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201528","","75.3 [71.9-78.5]","75.00000","72.00000","78.00000",""
"sba5","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200003","","No data","","","","Not available."
"sba5","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201712","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba5","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201202","","No data","","","","Not available."
"sba5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199603","","No data","","","","Not available."
"sba5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199604","","No data","","","","Not available."
"sba5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199618","","No data","","","","Not available."
"sba5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201511","","20.9 [17.6-24.7]","21.00000","18.00000","25.00000",""
"sba5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201513","","29.2 [21.6-38.3]","29.00000","22.00000","38.00000",""
"sba5","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200009","","99.3 [95.2-99.9]","99.00000","95.00000","100.00000",""
"sba5","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200010","","99.4 [95.8-99.9]","99.00000","96.00000","100.00000",""
"sba5","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200508","","98.1 [93.0-99.5]","98.00000","93.00000","99.00000",""
"sba5","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200510","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"sba5","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200511","","98.2 [93.7-99.5]","98.00000","94.00000","99.00000",""
