"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ADVERTISINGTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001507","PUBLISHED","2016","AFR","BEN","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BEN","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CMR","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","KEN","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MWI","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","NAM","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","NAM","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","NER","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SEN","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SWZ","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SWZ","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ZWE","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","COG","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CIV","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CIV","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GNB","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ETH","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GAB","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","BRB","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","BLZ","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","BLZ","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","COL","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","DMA","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","ECU","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","GUY","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","NIC","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","NIC","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","PAN","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","LCA","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","URY","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","URY","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","EGY","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","LBN","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","LBN","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","SYR","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","AND","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","ARM","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","BEL","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","BEL","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","BIH","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","CZE","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","GEO","SA_BEER_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","GEO","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","IRL","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","LVA","SA_BEER_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","LVA","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MNE","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","PRT","SA_BEER_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MDA","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","SRB","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","SVK","SA_WINE_ADS","partial restriction place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","CHE","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","TJK","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","UKR","SA_WINE_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","IND","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","AUS","SA_BEER_ADS","partial restriction time/place/content","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","JPN","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","MHL","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","WSM","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","SGP","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","VUT","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","DZA","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BDI","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BFA","SA_BEER_ADS","partial restriction place","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BFA","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","TCD","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","TCD","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GHA","SA_WINE_ADS","partial restriction place","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","COM","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GNQ","SA_BEER_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GNQ","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ERI","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GHA","SA_BEER_ADS","partial restriction time/place/content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","RWA","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","LBR","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","LBR","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MUS","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MUS","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","TZA","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ZAF","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","ARG","SA_SPIRITS_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","BRA","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","GRD","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","HND","SA_BEER_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","JAM","SA_SPIRITS_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","PRY","SA_BEER_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","PER","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","TTO","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","SUR","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","SUR","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","AFG","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","AFG","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","IRQ","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","IRQ","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","MAR","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","MAR","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","JOR","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","OMN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","SOM","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","SOM","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","SDN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","YEM","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","YEM","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","AZE","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","AZE","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","FIN","SA_WINE_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","HRV","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","LUX","SA_SPIRITS_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","HUN","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","RUS","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","NOR","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MKD","SA_BEER_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","TUR","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","IDN","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","IDN","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","UZB","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","BGD","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","MDV","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","THA","SA_BEER_ADS","partial restriction place/content","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","THA","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","SEAR","TLS","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","CHN","SA_BEER_ADS","partial restriction time/place/content","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","CHN","SA_WINE_ADS","partial restriction time/place/content","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","LAO","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","LAO","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","MYS","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","PHL","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","PHL","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","VNM","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BEN","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CPV","SA_BEER_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CMR","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CMR","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ETH","SA_BEER_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CIV","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GAB","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SEN","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SEN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MWI","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MLI","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","NAM","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GNB","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SYC","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","BLZ","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","SWZ","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ZMB","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ZWE","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","ZWE","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","CHL","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","COL","SA_SPIRITS_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","DMA","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","ECU","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","GUY","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","LCA","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","NIC","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","LCA","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","VCT","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AMR","URY","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","EGY","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","EGY","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","LBN","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","PAK","SA_BEER_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EMR","SYR","SA_WINE_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","AND","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","ARM","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","BEL","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","CZE","SA_BEER_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","DNK","SA_SPIRITS_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","GEO","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","IRL","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","IRL","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","LVA","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MNE","SA_BEER_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MNE","SA_SPIRITS_ADS","partial restriction content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","PRT","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","MDA","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","SVK","SA_SPIRITS_ADS","partial restriction place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","CHE","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","SRB","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","UKR","SA_BEER_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","UKR","SA_SPIRITS_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","EUR","GBR","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","JPN","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","JPN","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","WPR","WSM","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","KEN","SA_WINE_ADS","partial restriction time/content","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CAF","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","AGO","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","BWA","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","CPV","SA_WINE_ADS","partial restriction time","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GMB","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","COG","SA_WINE_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","COD","SA_SPIRITS_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","GAB","SA_BEER_ADS","no restriction","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","MRT","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001507","PUBLISHED","2016","AFR","NER","SA_BEER_ADS","ban","","","",""
