"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS2_161","PUBLISHED","2004","AFR","","390","390.00000","390.00000","390.00000",""
"WHS2_161","PUBLISHED","2004","AMR","","202","202.00000","202.00000","202.00000",""
"WHS2_161","PUBLISHED","2004","EMR","","458","458.00000","458.00000","458.00000",""
"WHS2_161","PUBLISHED","2004","EUR","","332","332.00000","332.00000","332.00000",""
"WHS2_161","PUBLISHED","2004","NOTSPEC","WB_WORLD_INCOME","301","301.00000","301.00000","301.00000",""
"WHS2_161","PUBLISHED","2004","NOTSPEC","WB_HI","164","164.00000","164.00000","164.00000",""
"WHS2_161","PUBLISHED","2004","NOTSPEC","WB_LI","409","409.00000","409.00000","409.00000",""
"WHS2_161","PUBLISHED","2004","NOTSPEC","WB_LMI","337","337.00000","337.00000","337.00000",""
"WHS2_161","PUBLISHED","2004","SEAR","","365","365.00000","365.00000","365.00000",""
"WHS2_161","PUBLISHED","2004","NOTSPEC","WB_UMI","401","401.00000","401.00000","401.00000",""
"WHS2_161","PUBLISHED","2004","WPR","","243","243.00000","243.00000","243.00000",""
"WHS2_161","PUBLISHED","2004","GLOBAL","","301","301.00000","301.00000","301.00000",""
