"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","","PUBLISHED","2012","EUR","WB_HI","SVN","1502.47","1502.46741","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_HI","SVN","1549.99","1549.98672","","",""
"WHS7_104","NHA_SWE","PUBLISHED","2008","EUR","WB_HI","SWE","3982.44","3982.43658","","",""
"WHS7_104","","PUBLISHED","1997","AFR","WB_LMI","SWZ","47.95","47.95391","","",""
"WHS7_104","","PUBLISHED","2006","AFR","WB_LMI","SWZ","120.19","120.19481","","",""
"WHS7_104","","PUBLISHED","2009","AFR","WB_HI","SYC","221.41","221.40563","","",""
"WHS7_104","","PUBLISHED","2011","AFR","WB_HI","SYC","363.43","363.42636","","",""
"WHS7_104","NHA_SYR","PUBLISHED","2000","EMR","WB_LMI","SYR","23.42","23.41797","","",""
"WHS7_104","NHA_AFG","PUBLISHED","2006","EMR","WB_LI","AFG","3.17","3.17004","","",""
"WHS7_104","NHA_AFG","PUBLISHED","2009","EMR","WB_LI","AFG","11.95","11.95060","","",""
"WHS7_104","","PUBLISHED","2003","AFR","WB_UMI","AGO","17.38","17.37877","","",""
"WHS7_104","","PUBLISHED","2006","AFR","WB_UMI","AGO","68.12","68.12083","","",""
"WHS7_104","","PUBLISHED","2000","EUR","WB_UMI","ALB","26.72","26.72450","","",""
"WHS7_104","","PUBLISHED","2001","EUR","WB_UMI","ALB","30.05","30.05347","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_UMI","ALB","40.47","40.47462","","",""
"WHS7_104","","PUBLISHED","1997","EUR","WB_HI","AND","975.87","975.87150","","",""
"WHS7_104","","PUBLISHED","1998","EUR","WB_HI","AND","1354.67","1354.66888","","",""
"WHS7_104","","PUBLISHED","2000","EUR","WB_HI","AND","854.43","854.42930","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_HI","AND","2923.19","2923.19175","","",""
"WHS7_104","","PUBLISHED","1995","EMR","WB_HI","ARE","582.34","582.33958","","",""
"WHS7_104","","PUBLISHED","1996","EMR","WB_HI","ARE","581.00","581.00458","","",""
"WHS7_104","","PUBLISHED","2012","EMR","WB_HI","ARE","1060.49","1060.49237","","",""
"WHS7_104","NHA_ARG","PUBLISHED","2007","AMR","WB_HI","ARG","314.10","314.10431","","",""
"WHS7_104","NHA_ARG","PUBLISHED","2009","AMR","WB_HI","ARG","470.06","470.06184","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_LMI","ARM","14.04","14.04002","","",""
"WHS7_104","","PUBLISHED","2004","EUR","WB_LMI","ARM","16.72","16.71976","","",""
"WHS7_104","","PUBLISHED","2006","EUR","WB_LMI","ARM","44.05","44.04841","","",""
"WHS7_104","NHA_ATG","PUBLISHED","2000","AMR","WB_HI","ATG","281.42","281.42195","","",""
"WHS7_104","NHA_ATG","PUBLISHED","2001","AMR","WB_HI","ATG","289.02","289.01711","","",""
"WHS7_104","NHA_ATG","PUBLISHED","2003","AMR","WB_HI","ATG","306.29","306.28893","","",""
"WHS7_104","NHA_AUS","PUBLISHED","1997","WPR","WB_HI","AUS","1195.80","1195.80033","","",""
