"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001699","PUBLISHED","2016","AMR","GRD","SA_BEER","None","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","PER","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","KNA","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","BLR","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","HRV","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","CYP","SA_SPIRITS","17","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","CMR","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","DMA","SA_BEER","16","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","NIC","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","SEAR","TLS","SA_WINE","None","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","ERI","SA_WINE","25","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","GUY","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","SSD","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","BLZ","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","EMR","EGY","SA_BEER","21","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","POL","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","GHA","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","KEN","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","NGA","SA_BEER","None","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","MEX","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","NGA","SA_SPIRITS","None","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","BLR","SA_WINE","18","","","",""
"SA_0000001699","PUBLISHED","2016","EUR","HUN","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","TCD","SA_WINE","16","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","BDI","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","SLE","SA_SPIRITS","18","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","CHL","SA_BEER","18","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","DMA","SA_WINE","16","","","",""
"SA_0000001699","PUBLISHED","2016","AMR","SUR","SA_SPIRITS","16","","","",""
"SA_0000001699","PUBLISHED","2016","WPR","MHL","SA_SPIRITS","21","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","BEN","SA_WINE","None","","","",""
"SA_0000001699","PUBLISHED","2016","AFR","MRT","SA_SPIRITS","total ban","","","",""
