"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","GRC","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ISR","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SVN","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_HI","GNQ","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","BHR","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","KWT","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","SAU","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","ETH","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GIN","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LI","LAO","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MOZ","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","NPL","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","RWA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","UGA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","UZB","SA_BEER","20","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LI","AFG","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LI","YEM","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","BEN","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GNB","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","NGA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","PHL","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","TON","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LMI","TKM","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LMI","PRY","SA_WINE","20","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","CIV","SA_BEER","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","LKA","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","IND","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","MHL","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","SLB","SA_SPIRITS","","","","","missing data"
