"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_CENTRALASIA","2.4 [1.6-3.6]","2.40000","1.60000","3.60000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_SOUTHEASTERNASIA","8.2 [5.9-11.4]","8.20000","5.90000","11.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_EASTERNAFR","5.3 [3.8-7.4]","5.30000","3.80000","7.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_CARIBBEAN","2.9 [2.1-4.0]","2.90000","2.10000","4.00000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","4.2 [3.2-5.2]","4.20000","3.20000","5.20000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_SOUTHASIA","14.3 [10.4-19.3]","14.30000","10.40000","19.30000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_LDC","10.9 [6.8-17.0]","10.90000","6.80000","17.00000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","","UNSDG_WESTERNAFR","7.5 [6.5-8.6]","7.50000","6.50000","8.60000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_LIMI","","7.4 [5.1-9.7]","7.40000","5.10000","9.70000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_HI","","0.5 [0.3-1.1]","0.50000","0.30000","1.10000","Consecutive Low Population Coverage"
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_MI","","7.5 [4.7-10.4]","7.50000","4.70000","10.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_LMI","","10.9 [7.1-16.3]","10.90000","7.10000","16.30000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_UMI","","1.8 [1.5-2.2]","1.80000","1.50000","2.20000",""
"NUTWASTINGPREV","PUBLISHED","2019","","","WB_LI","","6.6 [5.3-8.2]","6.60000","5.30000","8.20000",""
"NUTWASTINGPREV","PUBLISHED","2019","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","6.9 [5.7-8.2]","6.90000","5.70000","8.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_LAC","1.4 [1-1.9]","1.40000","1.00000","1.90000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_CENTRALAMR","1 [0.9-1.2]","1.00000","0.90000","1.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_EASTERNASIA","1.9 [1.8-2]","1.90000","1.80000","2.00000","excluding Japan"
