"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_PAC","PUBLISHED","2016","AFR","TZA","YEARS18-PLUS","MLE","5.2 [3.9-7.0]","5.23719","3.91139","6.97753",""
"NCD_PAC","PUBLISHED","2016","AMR","USA","YEARS18-PLUS","MLE","33.7 [27.6-40.5]","33.73191","27.56347","40.49680",""
"NCD_PAC","PUBLISHED","2016","AMR","URY","YEARS18-PLUS","MLE","19.4 [14.8-25.1]","19.42192","14.76144","25.10150",""
"NCD_PAC","PUBLISHED","2016","EUR","UZB","YEARS18-PLUS","MLE","12.5 [8.5-17.8]","12.47912","8.54987","17.84607",""
"NCD_PAC","PUBLISHED","2016","WPR","VUT","YEARS18-PLUS","MLE","6.6 [4.5-9.5]","6.58685","4.50063","9.53746",""
"NCD_PAC","PUBLISHED","2016","AMR","VEN","YEARS18-PLUS","MLE","28.2 [21.4-36.1]","28.21245","21.42578","36.14444",""
"NCD_PAC","PUBLISHED","2016","WPR","VNM","YEARS18-PLUS","MLE","19.3 [14.3-25.4]","19.26286","14.31749","25.39356",""
"NCD_PAC","PUBLISHED","2016","AFR","ZMB","YEARS18-PLUS","MLE","17.0 [13.1-20.9]","17.02176","13.14928","20.89424",""
"NCD_PAC","PUBLISHED","2016","AFR","ZWE","YEARS18-PLUS","MLE","20.6 [15.4-26.9]","20.61481","15.44998","26.94334",""
"NCD_PAC","PUBLISHED","2016","EMR","AFG","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","BLZ","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","DJI","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","SMR","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","AGO","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","GNQ","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","GUY","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","AZE","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","BHR","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","BDI","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","SEAR","PRK","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SDN","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","TKM","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","GUY","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","NIC","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SOM","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","SEAR","PRK","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","ISR","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MNE","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SDN","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","ATG","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","BOL","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","GNQ","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","ALB","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","AZE","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","BHR","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","SEAR","PRK","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","GNB","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","ISL","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MKD","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","TKM","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MCO","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","VCT","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","BLZ","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","DJI","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SOM","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","AGO","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","SLV","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MCO","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SYR","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","AZE","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","BLZ","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","DJI","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","HND","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","SSD","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","TKM","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","HTI","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","YEM","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","ISR","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","PER","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","ATG","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","BOL","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","SLV","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","GNB","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","HTI","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","NIC","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MKD","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MCO","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","MNE","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","PAN","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","VCT","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EUR","SMR","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","SSD","YEARS18-PLUS","MLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AMR","PAN","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","SSD","YEARS18-PLUS","BTSX","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","AFG","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","AFR","BDI","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","SYR","YEARS18-PLUS","FMLE","No data","","","",""
"NCD_PAC","PUBLISHED","2016","EMR","YEM","YEARS18-PLUS","FMLE","No data","","","",""
