"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"fpsmo","EQ_DHS","PUBLISHED","2012","AFR","GAB","","","URB","","","35.3 [31.9-38.9]","35.31862","31.92922","38.86241",""
"fpsmo","EQ_MICS","PUBLISHED","2005","EUR","GEO","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","URB","","","24.7 [22.0-27.6]","24.65753","21.95868","27.57091",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","GHA","","","RUR","","","21.2 [18.6-24.1]","21.20696","18.59651","24.07546",""
"fpsmo","EQ_DHS","PUBLISHED","1999","AFR","GIN","","","URB","","","23.9 [20.3-27.9]","23.91971","20.34509","27.90238",""
"fpsmo","EQ_DHS","PUBLISHED","2005","AFR","GIN","","","RUR","","","13.1 [10.5-16.2]","13.07796","10.50357","16.16933",""
"fpsmo","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","URB","","","21.9 [17.8-26.5]","21.86157","17.80326","26.54621",""
"fpsmo","EQ_MICS","PUBLISHED","2005","AFR","GMB","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2013","AFR","GMB","","","URB","","","31.7 [27.5-36.2]","31.69983","27.54703","36.16618",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","GNB","","","RUR","","","8.0 [6.0-10.6]","7.97599","5.98231","10.55946",""
"fpsmo","EQ_DHS","PUBLISHED","2014","AMR","GTM","","","URB","","","72.6 [70.9-74.2]","72.58508","70.93933","74.17154",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AMR","GUY","","","RUR","","","49.7 [46.2-53.2]","49.67227","46.19673","53.15099",""
"fpsmo","EQ_DHS","PUBLISHED","2009","AMR","GUY","","","URB","","","56.3 [51.8-60.7]","56.29240","51.77571","60.70709",""
"fpsmo","EQ_MICS","PUBLISHED","2014","AMR","GUY","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1994","AMR","HTI","","","URB","","","28.6 [24.9-32.6]","28.56838","24.88949","32.55536",""
"fpsmo","EQ_DHS","PUBLISHED","2005","AMR","HTI","","","URB","","","40.0 [37.1-42.9]","39.96630","37.09977","42.90325",""
"fpsmo","EQ_DHS","PUBLISHED","2012","AMR","HTI","","","RUR","","","44.7 [41.8-47.7]","44.71564","41.79049","47.67783",""
"fpsmo","EQ_DHS","PUBLISHED","1994","SEAR","IDN","","","URB","","","78.3 [76.5-80.0]","78.29163","76.45428","80.02307",""
"fpsmo","EQ_DHS","PUBLISHED","1997","SEAR","IDN","","","RUR","","","81.8 [80.4-83.1]","81.82559","80.42172","83.14989",""
"fpsmo","EQ_MICS","PUBLISHED","2006","EMR","IRQ","","","URB","","","67.0 [65.3-68.7]","67.03308","65.33291","68.68983",""
"fpsmo","EQ_MICS","PUBLISHED","2011","EMR","IRQ","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2005","AMR","JAM","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2011","AMR","JAM","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1997","EMR","JOR","","","URB","","","54.4 [52.4-56.4]","54.42410","52.44510","56.38923",""
"fpsmo","EQ_DHS","PUBLISHED","2002","EMR","JOR","","","RUR","","","52.0 [48.5-55.5]","51.97742","48.46048","55.47488",""
"fpsmo","EQ_MICS","PUBLISHED","2010","EUR","KAZ","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2015","EUR","KAZ","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","URB","","","55.5 [49.4-61.6]","55.54020","49.35839","61.55516",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","KEN","","","RUR","","","45.3 [42.8-47.8]","45.32214","42.82196","47.84615",""
"fpsmo","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","URB","","","60.4 [56.0-64.6]","60.38393","55.97380","64.63143",""
"fpsmo","EQ_DHS","PUBLISHED","2008","AFR","KEN","","","RUR","","","52.9 [49.9-55.9]","52.89620","49.91361","55.85825",""
"fpsmo","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","URB","","","40.8 [36.2-45.7]","40.82076","36.16127","45.65131",""
"fpsmo","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","RUR","","","41.5 [39.3-43.6]","41.47780","39.34678","43.64119",""
"fpsmo","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","URB","","","45.8 [42.7-48.9]","45.77273","42.72498","48.85245",""
"fpsmo","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","RUR","","","68.9 [66.8-70.9]","68.86765","66.78391","70.87766",""
"fpsmo","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2014","AFR","LSO","","","URB","","","82.1 [78.3-85.4]","82.09921","78.29652","85.36021",""
"fpsmo","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","RUR","","","73.4 [71.5-75.2]","73.40656","71.48485","75.24360",""
"fpsmo","EQ_RHS","PUBLISHED","1997","EUR","MDA","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2005","EUR","MDA","","","RUR","","","54.3 [51.7-56.9]","54.32089","51.68464","56.93316",""
"fpsmo","EQ_MICS","PUBLISHED","2015","AMR","MEX","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","RUR","","","23.2 [15.6-32.9]","23.17246","15.62243","32.94654",""
"fpsmo","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","RUR","","","6.7 [5.0-8.9]","6.69346","5.02782","8.85944",""
"fpsmo","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","URB","","","29.9 [26.4-33.6]","29.89641","26.43039","33.60932",""
"fpsmo","EQ_DHS","PUBLISHED","2006","AFR","MLI","","","RUR","","","11.6 [9.9-13.5]","11.57645","9.92199","13.46553",""
"fpsmo","EQ_MICS","PUBLISHED","2005","WPR","MNG","","","URB","","","75.7 [73.5-77.8]","75.68926","73.48509","77.76565",""
"fpsmo","EQ_MICS","PUBLISHED","2010","WPR","MNG","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2013","WPR","MNG","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","RUR","","","9.4 [6.7-12.9]","9.37803","6.71893","12.94346",""
"fpsmo","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","","URB","","","53.4 [49.5-57.2]","53.41751","49.54450","57.24976",""
"fpsmo","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","MWI","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2010","AFR","MWI","","","RUR","","","57.1 [55.6-58.7]","57.14549","55.58949","58.68748",""
"fpsmo","EQ_MICS","PUBLISHED","2013","AFR","MWI","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2015","AFR","MWI","","","RUR","","","74.7 [73.4-75.9]","74.65681","73.41705","75.85777",""
"fpsmo","EQ_DHS","PUBLISHED","2006","AFR","NAM","","","RUR","","","61.2 [58.0-64.2]","61.15218","58.01260","64.20186",""
"fpsmo","EQ_DHS","PUBLISHED","2003","AFR","NGA","","","URB","","","37.2 [33.3-41.2]","37.18108","33.34106","41.19008",""
"fpsmo","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","RUR","","","20.2 [17.9-22.6]","20.15593","17.89482","22.62402",""
"fpsmo","EQ_DHS","PUBLISHED","2008","AFR","NGA","","","URB","","","37.0 [34.9-39.2]","37.00829","34.89075","39.17702",""
"fpsmo","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","","URB","","","62.8 [56.5-68.7]","62.79211","56.49628","68.68188",""
"fpsmo","EQ_DHS","PUBLISHED","2001","SEAR","NPL","","","RUR","","","50.3 [47.6-53.1]","50.33665","47.55602","53.11521",""
"fpsmo","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","URB","","","67.9 [64.7-70.9]","67.90311","64.70188","70.94440",""
"fpsmo","EQ_MICS","PUBLISHED","2010","SEAR","NPL","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2011","SEAR","NPL","","","URB","","","62.3 [59.3-65.3]","62.34872","59.26399","65.33649",""
"fpsmo","EQ_MICS","PUBLISHED","2014","SEAR","NPL","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2004","AMR","PER","","","URB","","","64.1 [60.4-67.7]","64.14374","60.44424","67.68224",""
"fpsmo","EQ_DHS","PUBLISHED","2005","AMR","PER","","","RUR","","","47.2 [42.5-52.0]","47.21672","42.50666","51.97686",""
"fpsmo","EQ_DHS","PUBLISHED","2006","AMR","PER","","","URB","","","63.3 [60.2-66.4]","63.34597","60.22422","66.35959",""
"fpsmo","EQ_DHS","PUBLISHED","2007","AMR","PER","","","RUR","","","45.6 [40.4-50.8]","45.56115","40.37529","50.84509",""
"fpsmo","EQ_DHS","PUBLISHED","2008","AMR","PER","","","URB","","","63.0 [61.0-65.0]","63.02398","61.02362","64.98058",""
"fpsmo","EQ_DHS","PUBLISHED","2009","AMR","PER","","","RUR","","","50.3 [47.9-52.8]","50.33964","47.88716","52.79049",""
"fpsmo","EQ_DHS","PUBLISHED","2003","WPR","PHL","","","URB","","","50.0 [48.0-52.0]","50.00402","47.97781","52.03023",""
"fpsmo","EQ_DHS","PUBLISHED","2008","WPR","PHL","","","RUR","","","45.7 [43.5-47.8]","45.65493","43.54408","47.78150",""
"fpsmo","EQ_DHS","PUBLISHED","2013","WPR","PHL","","","URB","","","51.3 [49.4-53.2]","51.32292","49.43713","53.20494",""
"fpsmo","EQ_RHS","PUBLISHED","1995","AMR","PRY","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","1998","AMR","PRY","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","2004","AMR","PRY","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2010","EMR","SDN","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2014","EMR","SDN","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1997","AFR","SEN","","","URB","","","33.1 [28.9-37.6]","33.08004","28.87730","37.57133",""
"fpsmo","EQ_DHS","PUBLISHED","2005","AFR","SEN","","","RUR","","","13.5 [11.2-16.2]","13.49610","11.18720","16.19463",""
"fpsmo","EQ_DHS","PUBLISHED","2008","AFR","SLE","","","URB","","","31.8 [26.8-37.3]","31.79511","26.78683","37.26321",""
"fpsmo","EQ_DHS","PUBLISHED","2013","AFR","SLE","","","URB","","","47.4 [43.3-51.5]","47.40795","43.33951","51.51110",""
"fpsmo","EQ_RHS","PUBLISHED","1993","AMR","SLV","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","1998","AMR","SLV","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","2002","AMR","SLV","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2014","EUR","SRB","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2010","AFR","SSD","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2008","AFR","STP","","","URB","","","37.4 [30.7-44.7]","37.44332","30.69593","44.71690",""
"fpsmo","EQ_MICS","PUBLISHED","2014","AFR","STP","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","AMR","SUR","","","URB","","","72.9 [70.3-75.3]","72.87580","70.31036","75.29745",""
"fpsmo","EQ_MICS","PUBLISHED","2010","AMR","SUR","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","URB","","","19.0 [14.7-24.1]","18.96576","14.70282","24.11526",""
"fpsmo","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","URB","","","27.6 [23.4-32.2]","27.56175","23.36291","32.19817",""
"fpsmo","EQ_MICS","PUBLISHED","2010","AFR","TGO","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","EUR","TKM","","","URB","","","71.8 [67.4-75.8]","71.76084","67.38007","75.76489",""
"fpsmo","EQ_MICS","PUBLISHED","2015","EUR","TKM","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2009","SEAR","TLS","","","URB","","","47.3 [43.0-51.8]","47.33790","42.95844","51.75871",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AMR","TTO","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1999","AFR","TZA","","","URB","","","57.3 [50.1-64.2]","57.28080","50.09445","64.17242",""
"fpsmo","EQ_DHS","PUBLISHED","2010","AFR","TZA","","","URB","","","55.2 [50.7-59.7]","55.20406","50.66939","59.65381",""
"fpsmo","EQ_DHS","PUBLISHED","2015","AFR","TZA","","","RUR","","","52.5 [49.8-55.2]","52.50957","49.76073","55.24328",""
"fpsmo","EQ_DHS","PUBLISHED","1995","AFR","UGA","","","URB","","","45.5 [41.5-49.6]","45.50985","41.45926","49.62074",""
"fpsmo","EQ_DHS","PUBLISHED","2000","AFR","UGA","","","RUR","","","26.5 [24.0-29.2]","26.50008","23.98454","29.17817",""
"fpsmo","EQ_MICS","PUBLISHED","2012","EUR","UKR","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2012","AMR","URY","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1996","EUR","UZB","","","URB","","","72.0 [68.0-75.7]","72.01477","68.03313","75.67778",""
"fpsmo","EQ_MICS","PUBLISHED","2006","EUR","UZB","","","RUR","","","84.0 [82.4-85.5]","83.99464","82.35447","85.50919",""
"fpsmo","EQ_DHS","PUBLISHED","1997","WPR","VNM","","","URB","","","63.0 [58.5-67.3]","63.01954","58.54722","67.27901",""
"fpsmo","EQ_DHS","PUBLISHED","2002","WPR","VNM","","","RUR","","","67.5 [64.6-70.3]","67.50719","64.63576","70.25277",""
"fpsmo","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","URB","","","58.8 [56.0-61.4]","58.76028","56.03468","61.43320",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","ZAF","","","RUR","","","66.1 [62.7-69.3]","66.07446","62.70110","69.29215",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AFR","ZMB","","","URB","","","39.4 [36.4-42.4]","39.36917","36.40984","42.40862",""
"fpsmo","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","RUR","","","24.6 [22.2-27.2]","24.60545","22.20094","27.17940",""
"fpsmo","EQ_DHS","PUBLISHED","2007","AFR","ZMB","","","URB","","","58.7 [54.7-62.6]","58.68398","54.65943","62.59576",""
"fpsmo","EQ_DHS","PUBLISHED","2013","AFR","ZMB","","","RUR","","","56.6 [54.3-58.9]","56.57336","54.26388","58.85463",""
"fpsmo","EQ_MICS","PUBLISHED","2014","AFR","ZWE","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2015","AFR","ZWE","","","RUR","","","83.9 [81.9-85.7]","83.87965","81.93584","85.65092",""
"fpsmo","EQ_MICS","PUBLISHED","2010","EMR","AFG","","PRLM","","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2015","AFR","AGO","","NHLM","","","","6.5 [4.1-10.3]","6.54821","4.11765","10.25995",""
"fpsmo","EQ_RHS","PUBLISHED","2002","EUR","ALB","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_RHS","PUBLISHED","2002","EUR","ALB","","SHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2011","AMR","ARG","","PRLM","","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2005","EUR","ARM","","NHLM","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"fpsmo","EQ_DHS","PUBLISHED","2010","EUR","ARM","","SHLM","","","","35.5 [32.6-38.6]","35.54093","32.55043","38.64874",""
"fpsmo","EQ_MICS","PUBLISHED","2005","AFR","BDI","","PRLM","","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1996","AFR","BEN","","NHLM","","","","5.4 [4.1-7.0]","5.37267","4.10304","7.00646",""
"fpsmo","EQ_DHS","PUBLISHED","2001","AFR","BEN","","NHLM","","","","12.4 [10.6-14.5]","12.41571","10.57285","14.52759",""
"fpsmo","EQ_DHS","PUBLISHED","2001","AFR","BEN","","SHLM","","","","30.5 [25.0-36.6]","30.51018","25.01547","36.62235",""
"fpsmo","EQ_DHS","PUBLISHED","2006","AFR","BEN","","SHLM","","","","24.6 [21.2-28.4]","24.59242","21.16080","28.38022",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","BFA","","PRLM","","","","25.8 [20.5-31.8]","25.76096","20.50760","31.82134",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","BFA","","NHLM","","","","22.6 [18.5-27.2]","22.56042","18.52067","27.18732",""
"fpsmo","EQ_DHS","PUBLISHED","2010","AFR","BFA","","SHLM","","","","66.7 [62.3-70.9]","66.73235","62.28554","70.89982",""
"fpsmo","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","PRLM","","","","63.8 [61.1-66.5]","63.82822","61.07579","66.49281",""
"fpsmo","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","PRLM","","","","61.8 [59.2-64.4]","61.81343","59.16349","64.39488",""
"fpsmo","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","SHLM","","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","SHLM","","","","65.0 [62.7-67.3]","65.02630","62.72360","67.26099",""
"fpsmo","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","PRLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","EUR","BIH","","NHLM","","","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"fpsmo","EQ_MICS","PUBLISHED","2011","EUR","BIH","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2011","EUR","BIH","","SHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2012","EUR","BLR","","PRLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","SHLM","","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","1994","AMR","BOL","","SHLM","","","","37.2 [34.6-39.8]","37.16770","34.60327","39.80650",""
"fpsmo","EQ_DHS","PUBLISHED","2003","AMR","BOL","","PRLM","","","","37.1 [34.9-39.4]","37.13288","34.94297","39.37698",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AMR","BRA","","NHLM","","","","70.8 [65.9-75.3]","70.82603","65.94659","75.26850",""
"fpsmo","EQ_MICS","PUBLISHED","2012","AMR","BRB","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2012","AMR","BRB","","SHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","CAF","","PRLM","","","","19.7 [16.2-23.8]","19.72766","16.17365","23.84052",""
"fpsmo","EQ_DHS","PUBLISHED","1994","AFR","CIV","","NHLM","","","","6.9 [5.4-8.7]","6.85679","5.38462","8.69448",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","CIV","","SHLM","","","","32.2 [23.7-42.1]","32.24203","23.74040","42.10714",""
"fpsmo","EQ_DHS","PUBLISHED","2011","AFR","CIV","","PRLM","","","","31.5 [27.0-36.3]","31.47730","26.98802","36.34165",""
"fpsmo","EQ_DHS","PUBLISHED","1998","AFR","CMR","","PRLM","","","","17.4 [14.4-20.8]","17.35449","14.36940","20.80901",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","CMR","","NHLM","","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","CMR","","SHLM","","","","No data","","","","Not available."
