"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_SPIRITS","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_BEER","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_SPIRITS","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AFR","UGA","SA_BEER","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_WINE","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_WINE","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_BEER","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_SPIRITS","Yes","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_WINE","Yes","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EMR","LBN","SA_BEER","","","","","missing data"
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_SPIRITS","","","","","missing data"
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_WINE","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_WINE","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_WINE","Yes","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_WINE","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_BEER","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_SPIRITS","No","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_SPIRITS","Yes","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_SPIRITS","Yes","","","",""
"SA_0000001535_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_WINE","Yes","","","",""
