"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPALB2009","PUBLISHED","2009","EUR","ALB","1.38","1.38000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPALB2015","PUBLISHED","2015","EUR","ALB","1.49","1.49000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPAUT2004","PUBLISHED","2004","EUR","AUT","0.17","0.16543","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPAUT2009","PUBLISHED","2009","EUR","AUT","0.12","0.12209","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPAUT2014","PUBLISHED","2014","EUR","AUT","0.2","0.20000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCYP2003","PUBLISHED","2003","EUR","CYP","0.5","0.50242","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCYP2009","PUBLISHED","2009","EUR","CYP","0.35","0.34835","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCYP2015","PUBLISHED","2015","EUR","CYP","0.47","0.47028","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2007","PUBLISHED","2007","EUR","CZE","0.09","0.09000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2008","PUBLISHED","2008","EUR","CZE","0.21","0.21000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2009","PUBLISHED","2009","EUR","CZE","0.27","0.27000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2010","PUBLISHED","2010","EUR","CZE","0.23","0.23000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2011","PUBLISHED","2011","EUR","CZE","0.29","0.29000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPCZE2012","PUBLISHED","2012","EUR","CZE","0.06","0.06000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPDEU2003","PUBLISHED","2003","EUR","DEU","0.08","0.08000","","",""
"FINPROTECTION_IMP_BNLFHU_FURIMP_HH","FPDEU2008","PUBLISHED","2008","EUR","DEU","0.33","0.33000","","",""
