"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"uweight3","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","URB","","","15.2 [13.2-17.4]","15.18492","13.20177","17.40623",""
"uweight3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","RUR","","","No data","","","","Not available."
"uweight3","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","URB","","","No data","","","","Not available."
"uweight3","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","RUR","","","No data","","","","Not available."
"uweight3","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","URB","","","No data","","","","Not available."
"uweight3","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","RUR","","","26.2 [24.2-28.4]","26.22567","24.19004","28.36849",""
"uweight3","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","URB","","","20.4 [17.1-24.1]","20.40077","17.14119","24.09992",""
"uweight3","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","RUR","","","19.5 [18.2-20.8]","19.47763","18.21287","20.80788",""
"uweight3","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","URB","","","15.2 [13.7-16.9]","15.21673","13.70410","16.86369",""
"uweight3","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","RUR","","","33.5 [31.2-36.0]","33.54333","31.18957","35.98184",""
"uweight3","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","RUR","","","42.0 [39.5-44.5]","41.99100","39.52237","44.50035",""
"uweight3","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","URB","","","34.2 [30.2-38.5]","34.21821","30.17213","38.50766",""
"uweight3","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","RUR","","","39.4 [36.8-42.1]","39.40525","36.81281","42.05874",""
"uweight3","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","URB","","","29.5 [26.0-33.3]","29.54824","26.02740","33.33074",""
"uweight3","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","RUR","","","No data","","","","Not available."
