"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_3","PUBLISHED","2012","AMR","ARG","","ENVCAUSE001","150 200","150200.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","BEN","","ENVCAUSE001","1 063 310","1063310.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","BGD","","ENVCAUSE001","3 844 616","3844616.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","CHE","","ENVCAUSE001","4 832","4832.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","DNK","","ENVCAUSE001","4 248","4248.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","KHM","","ENVCAUSE001","458 948","458948.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","MKD","","ENVCAUSE001","2 950","2950.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","MMR","","ENVCAUSE001","1 652 908","1652908.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","NPL","","ENVCAUSE001","762 892","762892.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","PNG","","ENVCAUSE001","391 337","391337.00000","","",""
"TOTENV_3","PUBLISHED","2012","EMR","SOM","","ENVCAUSE001","1 987 711","1987711.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","SWE","","ENVCAUSE001","7 027","7027.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","UKR","","ENVCAUSE001","139 801","139801.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","BRN","","ENVCAUSE151","2 172","2172.00000","","",""
"TOTENV_3","PUBLISHED","2012","AMR","CHL","","ENVCAUSE151","102 867","102867.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","CIV","","ENVCAUSE151","730 661","730661.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","DZA","","ENVCAUSE151","520 484","520484.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","HRV","","ENVCAUSE151","34 175","34175.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","KHM","","ENVCAUSE151","296 734","296734.00000","","",""
"TOTENV_3","PUBLISHED","2012","AMR","LCA","","ENVCAUSE151","3 959","3959.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","LKA","","ENVCAUSE151","338 468","338468.00000","","",""
"TOTENV_3","PUBLISHED","2012","EMR","MAR","","ENVCAUSE151","434 726","434726.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","MNE","","ENVCAUSE151","5 078","5078.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","MYS","","ENVCAUSE151","377 679","377679.00000","","",""
"TOTENV_3","PUBLISHED","2012","EMR","SAU","","ENVCAUSE151","245 271","245271.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","SEN","","ENVCAUSE151","246 998","246998.00000","","",""
"TOTENV_3","PUBLISHED","2012","EMR","SOM","","ENVCAUSE151","408 945","408945.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","SSD","","ENVCAUSE151","373 911","373911.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","SWZ","","ENVCAUSE151","35 647","35647.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","UZB","","ENVCAUSE151","351 320","351320.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","AGO","","ENVCAUSE060","615 893","615893.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","BRN","","ENVCAUSE060","7 268","7268.00000","","",""
"TOTENV_3","PUBLISHED","2012","AMR","CUB","","ENVCAUSE060","377 445","377445.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","CYP","","ENVCAUSE060","24 782","24782.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","DNK","","ENVCAUSE060","167 416","167416.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","DZA","","ENVCAUSE060","1 052 675","1052675.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","FIN","","ENVCAUSE060","156 131","156131.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","IDN","","ENVCAUSE060","8 981 207","8981207.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","KGZ","","ENVCAUSE060","243 264","243264.00000","","",""
"TOTENV_3","PUBLISHED","2012","AMR","KNA","","ENVCAUSE060","1 008","1008.00000","","",""
"TOTENV_3","PUBLISHED","2012","AMR","LCA","","ENVCAUSE060","5 628","5628.00000","","",""
"TOTENV_3","PUBLISHED","2012","SEAR","LKA","","ENVCAUSE060","879 575","879575.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","LSO","","ENVCAUSE060","55 871","55871.00000","","",""
"TOTENV_3","PUBLISHED","2012","EUR","MLT","","ENVCAUSE060","14 403","14403.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","MNG","","ENVCAUSE060","146 490","146490.00000","","",""
"TOTENV_3","PUBLISHED","2012","WPR","PNG","","ENVCAUSE060","186 642","186642.00000","","",""
"TOTENV_3","PUBLISHED","2012","EMR","SDN","","ENVCAUSE060","996 509","996509.00000","","",""
"TOTENV_3","PUBLISHED","2012","AFR","SEN","","ENVCAUSE060","286 096","286096.00000","","",""
